"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",305985,"TNF_Family_Members_Receptors",0.008,0.00388830436751126,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",229985,"TCRsignalingPathway",0.002,0.00108860726405443,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",58985,"BCRSignalingPathway",0.009,0.00432631632742924,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ADAM10","protein_coding",174523,"Interleukins",0.001,0.00056887557230159,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",98523,"Chemokine_Receptors",0.005,0.00253401098684897,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",269523,"TGFb_Family_Member_Receptor",0.003,0.0015842089406623,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",272292,"TGFb_Family_Member_Receptor",0.002,0.00108860726405443,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"AFF1","protein_coding",256245,"TGFb_Family_Member",0.001,0.00056887557230159,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AFF1","protein_coding",66245,"BCRSignalingPathway",0.002,0.00108860726405443,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AGT","protein_coding",250111,"TGFb_Family_Member",0.004,0.00206511734461664,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",155111,"Interferons",0.006,0.0029922471092287,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AHNAK","protein_coding",115591,"Cytokines",0.002,0.00108860726405443,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AHNAK","protein_coding",153591,"Interferons",0.001,0.00056887557230159,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AHNAK","protein_coding",134591,"Cytokine_Receptors",0.009,0.00432631632742924,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AHNAK","protein_coding",267591,"TGFb_Family_Member_Receptor",0.003,0.0015842089406623,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AIM2","protein_coding",216004,"NaturalKiller_Cell_Cytotoxicity",0.002,0.00108860726405443,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ALDH1A3","protein_coding",239426,"TCRsignalingPathway",0.001,0.00056887557230159,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALDH1A3","protein_coding",220426,"NaturalKiller_Cell_Cytotoxicity",0.006,0.0029922471092287,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALPK1","protein_coding",244225,"TGFb_Family_Member",0.001,0.00056887557230159,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",73225,"Chemokines",0.008,0.00388830436751126,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",225225,"TCRsignalingPathway",0.002,0.00108860726405443,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ANKK1","protein_coding",103698,"Chemokine_Receptors",0.002,0.00108860726405443,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKK1","protein_coding",27698,"Antigen_Processing_and_Presentation",0.009,0.00432631632742924,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
