"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"ADA2","protein_coding",121997,"Interleukins",0.001,0.000288255960752079,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADAM10","protein_coding",82523,"Cytokines",0.001,0.000288255960752079,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",67523,"Chemokine_Receptors",0.004,0.00108815943046197,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",100293,"Cytokine_Receptors",0.005,0.00134473389652112,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",70293,"Chemokine_Receptors",0.002,0.000561547562477929,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",30523,"BCRSignalingPathway",0.005,0.00134473389652112,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",120523,"Interleukins",0.005,0.00134473389652112,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",165523,"TCRsignalingPathway",0.006,0.00159828920067929,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",90523,"Cytokine_Receptors",0.009,0.00234551006733261,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AGT","protein_coding",52111,"Chemokines",0.007,0.00184952517303541,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",127111,"Interleukins",0.002,0.000561547562477929,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",157111,"NaturalKiller_Cell_Cytotoxicity",0.004,0.00108815943046197,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AICDA","protein_coding",123945,"Interleukins",0.004,0.00108815943046197,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"ANKK1","protein_coding",42697,"BCRSignalingPathway",0.001,0.000288255960752079,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKK1","protein_coding",117697,"Interferons",0.001,0.000288255960752079,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKRD13A","protein_coding",166346,"TCRsignalingPathway",0.005,0.00134473389652112,1413.74164315448,0.516669523707871,0.00686185686349522,0.5262921281937,"Positive"
"ANKRD50","protein_coding",219366,"TNF_Family_Members",0.001,0.000288255960752079,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
