"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"ACAP1","protein_coding",27619,"TGFb_Family_Member",0.008,0.00509872727868194,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADA2","protein_coding",15203,"Cytokine_Receptors",0.006,0.00394091708813547,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADA2","protein_coding",17404,"Interferons",0.006,0.00394091708813547,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADPGK","protein_coding",240288,"Interleukins",0.005,0.00334461544504272,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",29136,"TGFb_Family_Member_Receptor",0.001,0.000762036767790351,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",31337,"TNF_Family_Members",0.002,0.00145117522943555,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AFF1","protein_coding",253235,"Interleukins_Receptor",0.002,0.00145117522943555,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AFF1","protein_coding",263235,"NaturalKiller_Cell_Cytotoxicity",0.002,0.00145117522943555,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AFF1","protein_coding",173235,"Antimicrobials",0.001,0.000762036767790351,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AGT","protein_coding",82108,"Antigen_Processing_and_Presentation",0.001,0.000762036767790351,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",117108,"Interferons",0.001,0.000762036767790351,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AHNAK","protein_coding",135591,"TCRsignalingPathway",0.001,0.000762036767790351,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AHNAK","protein_coding",90591,"BCRSignalingPathway",0.008,0.00509872727868194,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AICDA","protein_coding",78945,"TNF_Family_Members_Receptors",0.001,0.000762036767790351,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AIM2","protein_coding",161000,"Antigen_Processing_and_Presentation",0.004,0.00273439121042796,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"AIM2","protein_coding",201000,"Chemokine_Receptors",0.002,0.00145117522943555,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ALPK1","protein_coding",16632,"Interferons",0.004,0.00273439121042796,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",25436,"TCRsignalingPathway",0.009,0.00566393690305199,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",18833,"Interleukins",0.001,0.000762036767790351,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ANKK1","protein_coding",302689,"TNF_Family_Members",0.006,0.00394091708813547,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKK1","protein_coding",292689,"TGFb_Family_Member_Receptor",0.002,0.00145117522943555,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKK1","protein_coding",252689,"Interleukins_Receptor",0.008,0.00509872727868194,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKRD13A","protein_coding",12351,"Cytokines",0.004,0.00273439121042796,1413.74164315448,0.516669523707871,0.00686185686349522,0.5262921281937,"Positive"
