"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",170974,"TGFb_Family_Member",0.002,0.00820002718467435,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ACAP1","protein_coding",151206,"TCRsignalingPathway",0.001,0.00461079266392221,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADAM10","protein_coding",172500,"TGFb_Family_Member",0.002,0.00820002718467435,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ANKRD50","protein_coding",129333,"Interleukins_Receptor",0.001,0.00461079266392221,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANXA1","protein_coding",186949,"TGFb_Family_Member_Receptor",0.001,0.00461079266392221,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"ANXA1","protein_coding",216949,"TNF_Family_Members_Receptors",0.002,0.00820002718467435,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"APOBEC3H","protein_coding",197250,"TNF_Family_Members",0.002,0.00820002718467435,1038.67752414914,0.644896572940467,0.000374287311007098,0.64649438254414,"Positive"
"ARHGAP30","protein_coding",422332,"TNF_Family_Members",0.002,0.00820002718467435,1136.69428058253,0.611386570741015,0.000902578864692064,0.614095648250638,"Positive"
"ATP11C","protein_coding",2600,"Antigen_Processing_and_Presentation",0.001,0.00461079266392221,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"B4GALT1","protein_coding",181682,"TGFb_Family_Member_Receptor",0.002,0.00820002718467435,1226.70966914381,0.580612078925192,0.00186582226220681,0.585090166783858,"Positive"
"B4GALT1","protein_coding",136682,"NaturalKiller_Cell_Cytotoxicity",0.002,0.00820002718467435,1226.70966914381,0.580612078925192,0.00186582226220681,0.585090166783858,"Positive"
"B4GALT1","protein_coding",91682,"Interferons",0.001,0.00461079266392221,1226.70966914381,0.580612078925192,0.00186582226220681,0.585090166783858,"Positive"
"BHLHE40","protein_coding",51785,"Chemokine_Receptors",0.002,0.00820002718467435,1115.69068991823,0.61856728549804,0.00075369385120556,0.620993233712335,"Positive"
"BLZF1","protein_coding",109705,"Interleukins",0.002,0.00820002718467435,1161.69855518289,0.602838100792175,0.00111246408981686,0.60601076337649,"Positive"
"CAPNS2","protein_coding",282568,"Chemokine_Receptors",0.002,0.00820002718467435,1027.38554262022,0.648757079446079,0.000335928536572322,0.650208553535131,"Positive"
"CAPNS2","protein_coding",237202,"Antigen_Processing_and_Presentation",0.001,0.00461079266392221,1027.38554262022,0.648757079446079,0.000335928536572322,0.650208553535131,"Positive"
"CAPNS2","protein_coding",388422,"TCRsignalingPathway",0.001,0.00461079266392221,1027.38554262022,0.648757079446079,0.000335928536572322,0.650208553535131,"Positive"
"CASP4","protein_coding",302227,"Cytokine_Receptors",0.001,0.00461079266392221,1397.73890741025,0.522140544475129,0.00619748489501906,0.531059992649529,"Positive"
"CBLN1","protein_coding",62726,"Cytokines",0.001,0.00461079266392221,4571.28143968745,-0.562831261431606,0.00279087834838033,-543.045577856664,"Negative"
"CCL17","protein_coding",122732,"Interleukins_Receptor",0.001,0.00461079266392221,1319.72557065714,0.548811770715508,0.00368080065976747,0.555379682666035,"Positive"
"CCL17","protein_coding",197732,"TNF_Family_Members",0.002,0.00820002718467435,1319.72557065714,0.548811770715508,0.00368080065976747,0.555379682666035,"Positive"
"CCL17","protein_coding",2732,"Antigen_Processing_and_Presentation",0.002,0.00820002718467435,1319.72557065714,0.548811770715508,0.00368080065976747,0.555379682666035,"Positive"
"CCL19","protein_coding",208192,"TNF_Family_Members",0.002,0.00820002718467435,1171.70026502303,0.599418712812639,0.00120752981274665,0.602798833300198,"Positive"
"CCL19","protein_coding",193192,"TGFb_Family_Member_Receptor",0.002,0.00820002718467435,1171.70026502303,0.599418712812639,0.00120752981274665,0.602798833300198,"Positive"
"CCL5","protein_coding",360218,"Interleukins_Receptor",0.002,0.00820002718467435,759.629819609161,0.740297497569518,1.52985404058878e-05,0.740415557931143,"Positive"
"CCL8","protein_coding",138569,"NaturalKiller_Cell_Cytotoxicity",0.001,0.00461079266392221,1373.73480379391,0.530347075626015,0.00530289905699508,0.53843163470568,"Positive"
"CCR2","protein_coding",5186,"Antigen_Processing_and_Presentation",0.002,0.00820002718467435,1130.69325467845,0.613438203528737,0.000857645450564953,0.616107034660301,"Positive"
"CCR8","protein_coding",14424,"Antigen_Processing_and_Presentation",0.001,0.00461079266392221,1457.52786855756,0.501699873997414,0.0089923105765631,0.513350497855845,"Positive"
"CD109","protein_coding",39926,"Chemokines",0.002,0.00820002718467435,1176.7011199431,0.597709018822872,0.00125763693659839,0.601127693953918,"Positive"
"CD1C","protein_coding",160146,"TCRsignalingPathway",0.002,0.00820002718467435,1309.723860817,0.552231158695044,0.00343233355775986,0.55856960030471,"Positive"
