"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",215984,"TNF_Family_Members",0.002,0.00108788141540118,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",65984,"Chemokine_Receptors",0.002,0.00108788141540118,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ACAP1","protein_coding",121207,"Interleukins",0.001,0.000567272008684989,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADA2","protein_coding",196997,"TGFb_Family_Member_Receptor",0.002,0.00108788141540118,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADAM10","protein_coding",67520,"Chemokine_Receptors",0.002,0.00108788141540118,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",40290,"BCRSignalingPathway",0.007,0.00345077931138262,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",55290,"Chemokines",0.003,0.00158464779096157,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",160290,"NaturalKiller_Cell_Cytotoxicity",0.002,0.00108788141540118,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",45523,"Chemokines",0.003,0.00158464779096157,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",210523,"TNF_Family_Members",0.006,0.00299740582349625,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AFF1","protein_coding",163241,"NaturalKiller_Cell_Cytotoxicity",0.001,0.000567272008684989,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AFF1","protein_coding",208241,"TGFb_Family_Member_Receptor",0.006,0.00299740582349625,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AGT","protein_coding",157108,"NaturalKiller_Cell_Cytotoxicity",0.008,0.00389640341386952,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",52108,"Chemokines",0.002,0.00108788141540118,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AHNAK","protein_coding",215591,"TNF_Family_Members",0.002,0.00108788141540118,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AICDA","protein_coding",123945,"Interleukins",0.002,0.00108788141540118,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AIM2","protein_coding",131002,"Interleukins",0.002,0.00108788141540118,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ALPK1","protein_coding",16225,"Antimicrobials",0.001,0.000567272008684989,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ANKK1","protein_coding",12694,"Antigen_Processing_and_Presentation",0.002,0.00108788141540118,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKRD13A","protein_coding",181346,"TGFb_Family_Member",0.002,0.00108788141540118,1413.74164315448,0.516669523707871,0.00686185686349522,0.5262921281937,"Positive"
"ANKRD50","protein_coding",219363,"TNF_Family_Members",0.007,0.00345077931138262,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANKRD50","protein_coding",234363,"TNF_Family_Members_Receptors",0.001,0.000567272008684989,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANTKMT","protein_coding",47788,"Chemokines",0.001,0.000567272008684989,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"ANXA1","protein_coding",51967,"Chemokines",0.003,0.00158464779096157,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"ANXA1","protein_coding",201967,"TGFb_Family_Member_Receptor",0.007,0.00345077931138262,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"APOBEC3D","protein_coding",507470,"TNF_Family_Members",0.008,0.00389640341386952,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3D","protein_coding",306709,"Chemokines",0.004,0.00206525479075513,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3F","protein_coding",156002,"NaturalKiller_Cell_Cytotoxicity",0.003,0.00158464779096157,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"ARHGAP30","protein_coding",295708,"Chemokines",0.002,0.00108788141540118,1136.69428058253,0.611386570741015,0.000902578864692064,0.614095648250638,"Positive"
"ARIH1","protein_coding",101743,"Cytokine_Receptors",0.002,0.00108788141540118,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ATL3","protein_coding",277025,"BCRSignalingPathway",0.001,0.000567272008684989,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATP11C","protein_coding",152602,"NaturalKiller_Cell_Cytotoxicity",0.001,0.000567272008684989,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP11C","protein_coding",167602,"TCRsignalingPathway",0.001,0.000567272008684989,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP11C","protein_coding",2602,"Antigen_Processing_and_Presentation",0.004,0.00206525479075513,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP11C","protein_coding",107602,"Interferons",0.006,0.00299740582349625,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP5F1D","protein_coding",77105,"Cytokines",0.001,0.000567272008684989,4584.28366247963,-0.567276465805002,0.00253840620882584,-561.738056099379,"Negative"
"ATP5F1D","protein_coding",197105,"TGFb_Family_Member_Receptor",0.001,0.000567272008684989,4584.28366247963,-0.567276465805002,0.00253840620882584,-561.738056099379,"Negative"
"ATP5F1D","protein_coding",122105,"Interleukins",0.001,0.000567272008684989,4584.28366247963,-0.567276465805002,0.00253840620882584,-561.738056099379,"Negative"
"ATP7A","protein_coding",101505,"Cytokine_Receptors",0.003,0.00158464779096157,971.666068220181,0.667806472403357,0.000192649108879243,0.668659422316222,"Positive"
"ATXN7","protein_coding",191032,"TGFb_Family_Member",0.003,0.00158464779096157,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
"ATXN7","protein_coding",86032,"Cytokines",0.001,0.000567272008684989,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
