"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"ACAP1","protein_coding",106207,"Interleukins",0.001,0.00122546183458062,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADA2","protein_coding",16997,"Antimicrobials",0.003,0.00329039153187279,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADA2","protein_coding",136997,"NaturalKiller_Cell_Cytotoxicity",0.001,0.00122546183458062,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADA2","protein_coding",76997,"Cytokines",0.003,0.00329039153187279,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADA2","protein_coding",31997,"BCRSignalingPathway",0.001,0.00122546183458062,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADAM10","protein_coding",7523,"Antigen_Processing_and_Presentation",0.001,0.00122546183458062,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",52523,"Chemokines",0.001,0.00122546183458062,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",175293,"TGFb_Family_Member",0.001,0.00122546183458062,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",10293,"Antigen_Processing_and_Presentation",0.006,0.00603141813397474,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",523,"Antigen_Processing_and_Presentation",0.004,0.00423669982798696,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",195523,"TNF_Family_Members",0.008,0.00772640995427039,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
