"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",35985,"BCRSignalingPathway",0.002,0.00105508124330987,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ACAP1","protein_coding",76207,"Cytokines",0.001,0.00055052988145932,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADA2","protein_coding",181997,"TGFb_Family_Member",0.002,0.00105508124330987,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADAM10","protein_coding",127522,"Interleukins",0.001,0.00055052988145932,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",190292,"TGFb_Family_Member",0.006,0.00290524164800428,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",115292,"Interferons",0.002,0.00105508124330987,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",90523,"Cytokine_Receptors",0.009,0.00420435013866095,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AFF1","protein_coding",103245,"Cytokine_Receptors",0.009,0.00420435013866095,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AFF1","protein_coding",28245,"Antimicrobials",0.007,0.00334429134945615,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AGT","protein_coding",172110,"TCRsignalingPathway",0.001,0.00055052988145932,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",217110,"TNF_Family_Members",0.001,0.00055052988145932,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",127110,"Interleukins",0.001,0.00055052988145932,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AHNAK","protein_coding",140591,"Interleukins_Receptor",0.003,0.00153658404357554,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AHNAK","protein_coding",215591,"TNF_Family_Members",0.002,0.00105508124330987,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AHNAK","protein_coding",5591,"Antigen_Processing_and_Presentation",0.004,0.00200370371087183,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AHNAK","protein_coding",230591,"TNF_Family_Members_Receptors",0.001,0.00055052988145932,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AIM2","protein_coding",131004,"Interleukins",0.001,0.00055052988145932,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ALDH1A3","protein_coding",259164,"Antimicrobials",0.003,0.00153658404357554,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALDH1A3","protein_coding",409060,"Interleukins_Receptor",0.001,0.00055052988145932,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALDH1A3","protein_coding",502745,"TNF_Family_Members",0.002,0.00105508124330987,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALDH1A3","protein_coding",465271,"TGFb_Family_Member",0.002,0.00105508124330987,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALPK1","protein_coding",91225,"Cytokine_Receptors",0.003,0.00153658404357554,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",166225,"TCRsignalingPathway",0.003,0.00153658404357554,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",16225,"Antimicrobials",0.004,0.00200370371087183,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",196225,"TGFb_Family_Member_Receptor",0.005,0.00245862571245964,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ANKK1","protein_coding",222697,"TNF_Family_Members",0.002,0.00105508124330987,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
