"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"ADA2","protein_coding",106997,"TCRsignalingPathway",0.001,0.000474200414677326,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADA2","protein_coding",1997,"Antigen_Processing_and_Presentation",0.001,0.000474200414677326,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADAM10","protein_coding",67521,"Interleukins",0.006,0.00252369335662137,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",172521,"TNF_Family_Members_Receptors",0.001,0.000474200414677326,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADSS2","protein_coding",90523,"NaturalKiller_Cell_Cytotoxicity",0.001,0.000474200414677326,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",60523,"Interleukins",0.006,0.00252369335662137,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AFF1","protein_coding",178239,"TNF_Family_Members_Receptors",0.001,0.000474200414677326,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AGT","protein_coding",112109,"TCRsignalingPathway",0.007,0.00290842863221747,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AHNAK","protein_coding",65590,"Interleukins",0.001,0.000474200414677326,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AHNAK","protein_coding",125590,"TGFb_Family_Member",0.001,0.000474200414677326,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AICDA","protein_coding",168945,"TNF_Family_Members_Receptors",0.002,0.000910956578575875,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AIM2","protein_coding",71001,"Interleukins",0.002,0.000910956578575875,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ANKK1","protein_coding",87693,"Interleukins_Receptor",0.002,0.000910956578575875,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKRD13A","protein_coding",151346,"TNF_Family_Members",0.009,0.00366167470157132,1413.74164315448,0.516669523707871,0.00686185686349522,0.5262921281937,"Positive"
"ANKRD13A","protein_coding",166346,"TNF_Family_Members_Receptors",0.009,0.00366167470157132,1413.74164315448,0.516669523707871,0.00686185686349522,0.5262921281937,"Positive"
"ANKRD50","protein_coding",159363,"TNF_Family_Members",0.001,0.000474200414677326,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANXA1","protein_coding",171968,"TNF_Family_Members_Receptors",0.002,0.000910956578575875,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"AP4E1","protein_coding",31518,"Chemokine_Receptors",0.002,0.000910956578575875,1420.74284004258,0.514275952122196,0.00717078627444315,0.524293952923493,"Positive"
"APOBEC3F","protein_coding",111002,"TCRsignalingPathway",0.006,0.00252369335662137,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",21002,"Chemokines",0.001,0.000474200414677326,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",66002,"Interleukins",0.002,0.000910956578575875,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3G","protein_coding",208760,"Chemokines",0.001,0.000474200414677326,1288.7202701527,0.55941187345207,0.0029566681485621,0.5651642964648,"Positive"
"APOBEC3H","protein_coding",107252,"TCRsignalingPathway",0.003,0.00133001952253781,1038.67752414914,0.644896572940467,0.000374287311007098,0.64649438254414,"Positive"
"AQP3","protein_coding",41512,"Chemokine_Receptors",0.001,0.000474200414677326,1365.73343592179,0.533082586009643,0.00503007711196432,0.540931548929613,"Positive"
"AQP3","protein_coding",11512,"Antigen_Processing_and_Presentation",0.007,0.00290842863221747,1365.73343592179,0.533082586009643,0.00503007711196432,0.540931548929613,"Positive"
"ARHGAP30","protein_coding",306699,"TCRsignalingPathway",0.004,0.00173618159233332,1136.69428058253,0.611386570741015,0.000902578864692064,0.614095648250638,"Positive"
"ARIH1","protein_coding",86742,"Interleukins_Receptor",0.004,0.00173618159233332,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ARIH1","protein_coding",71742,"Interleukins",0.001,0.000474200414677326,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ATL3","protein_coding",270337,"Interleukins_Receptor",0.001,0.000474200414677326,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATL3","protein_coding",252372,"Interleukins",0.001,0.000474200414677326,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATL3","protein_coding",324232,"TGFb_Family_Member",0.007,0.00290842863221747,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATP11C","protein_coding",137602,"TGFb_Family_Member_Receptor",0.003,0.00133001952253781,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATXN7","protein_coding",131031,"TGFb_Family_Member",0.003,0.00133001952253781,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
"B3GNT2","protein_coding",132725,"TGFb_Family_Member",0.001,0.000474200414677326,1448.74762759498,0.504701665779496,0.0085257945956671,0.515964210574993,"Positive"
"B3GNT2","protein_coding",117725,"TCRsignalingPathway",0.001,0.000474200414677326,1448.74762759498,0.504701665779496,0.0085257945956671,0.515964210574993,"Positive"
"B4GALT1","protein_coding",31683,"Chemokine_Receptors",0.002,0.000910956578575875,1226.70966914381,0.580612078925192,0.00186582226220681,0.585090166783858,"Positive"
"B4GALT1","protein_coding",61683,"Interleukins",0.001,0.000474200414677326,1226.70966914381,0.580612078925192,0.00186582226220681,0.585090166783858,"Positive"
"BACH1","protein_coding",84922,"Interleukins_Receptor",0.007,0.00290842863221747,1398.73907839426,0.521798605677175,0.00623735798105223,0.530769597843549,"Positive"
"BAG3","protein_coding",114433,"TCRsignalingPathway",0.001,0.000474200414677326,1084.68538941379,0.629167388234601,0.000572936003163684,0.631180240792338,"Positive"
"BAG3","protein_coding",99433,"NaturalKiller_Cell_Cytotoxicity",0.002,0.000910956578575875,1084.68538941379,0.629167388234601,0.000572936003163684,0.631180240792338,"Positive"
"BATF","protein_coding",24901,"Chemokines",0.004,0.00173618159233332,1035.67701119709,0.645922389334327,0.000363738951085456,0.647470992521415,"Positive"
"BAZ2B","protein_coding",125403,"TGFb_Family_Member",0.001,0.000474200414677326,1352.73121312961,0.53752779038304,0.00461206094517627,0.54500129939168,"Positive"
"BCAR3","protein_coding",67533,"Interleukins",0.001,0.000474200414677326,1445.74711464293,0.505727482173356,0.00837108412473101,0.516829231817678,"Positive"
"BLZF1","protein_coding",34710,"Chemokine_Receptors",0.001,0.000474200414677326,1161.69855518289,0.602838100792175,0.00111246408981686,0.60601076337649,"Positive"
"BLZF1","protein_coding",169710,"TNF_Family_Members_Receptors",0.004,0.00173618159233332,1161.69855518289,0.602838100792175,0.00111246408981686,0.60601076337649,"Positive"
"BNIP2","protein_coding",37907,"Chemokine_Receptors",0.001,0.000474200414677326,962.664529364053,0.670883921584939,0.000175450596846255,0.6717050550866,"Positive"
