"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",170985,"TCRsignalingPathway",0.006,0.00279644589225599,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",215985,"TNF_Family_Members",0.001,0.00052397303949365,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",20985,"Antimicrobials",0.002,0.00100800367093123,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ACAP1","protein_coding",226207,"TNF_Family_Members_Receptors",0.009,0.00405756222340986,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ACAP1","protein_coding",181207,"TGFb_Family_Member",0.009,0.00405756222340986,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADA2","protein_coding",46997,"Chemokines",0.006,0.00279644589225599,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADAM10","protein_coding",97526,"Cytokine_Receptors",0.006,0.00279644589225599,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",112526,"Interferons",0.001,0.00052397303949365,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",37526,"BCRSignalingPathway",0.009,0.00405756222340986,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",70296,"Chemokine_Receptors",0.007,0.00322290868476189,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",100296,"Cytokine_Receptors",0.003,0.00147191663576299,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",130296,"Interleukins",0.008,0.00364289207887328,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",120523,"Interleukins",0.002,0.00100800367093123,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",30523,"BCRSignalingPathway",0.001,0.00052397303949365,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",90523,"Cytokine_Receptors",0.001,0.00052397303949365,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AIM2","protein_coding",101008,"Cytokine_Receptors",0.001,0.00052397303949365,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"AIM2","protein_coding",71008,"Chemokine_Receptors",0.005,0.0023635026155064,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ALDH1A3","protein_coding",351818,"Cytokine_Receptors",0.001,0.00052397303949365,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ANKK1","protein_coding",57700,"Chemokines",0.002,0.00100800367093123,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKK1","protein_coding",177700,"TCRsignalingPathway",0.004,0.00192278249893837,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
