"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"ADPGK","protein_coding",25293,"Antimicrobials",0.001,0.000461563833007523,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",70293,"Chemokine_Receptors",0.002,0.00088981393573843,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",205293,"TGFb_Family_Member_Receptor",0.003,0.00130169154126462,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",100293,"Cytokine_Receptors",0.002,0.00088981393573843,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",130293,"Interleukins",0.002,0.00088981393573843,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",115293,"Interferons",0.004,0.00170245828700134,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",45523,"Chemokines",0.004,0.00170245828700134,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AFF1","protein_coding",73245,"Chemokine_Receptors",0.003,0.00130169154126462,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AHNAK","protein_coding",50591,"Chemokines",0.007,0.00286076554242869,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AIM2","protein_coding",236005,"TNF_Family_Members_Receptors",0.002,0.00088981393573843,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"AIM2","protein_coding",131005,"Interleukins",0.009,0.00360586228866515,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ANKK1","protein_coding",117698,"Interferons",0.003,0.00130169154126462,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKRD50","protein_coding",159366,"NaturalKiller_Cell_Cytotoxicity",0.006,0.00248056139104216,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANKRD50","protein_coding",9366,"Antigen_Processing_and_Presentation",0.004,0.00170245828700134,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANKRD50","protein_coding",144366,"Interleukins_Receptor",0.009,0.00360586228866515,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANXA1","protein_coding",201970,"TGFb_Family_Member_Receptor",0.003,0.00130169154126462,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"ANXA1","protein_coding",96970,"Cytokine_Receptors",0.001,0.000461563833007523,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"ANXA1","protein_coding",6970,"Antigen_Processing_and_Presentation",0.001,0.000461563833007523,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"APOBEC3D","protein_coding",383715,"Interferons",0.007,0.00286076554242869,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3F","protein_coding",126003,"Interleukins",0.005,0.0020951854074873,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",111003,"Interferons",0.006,0.00248056139104216,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",186003,"TGFb_Family_Member",0.008,0.00323516134796371,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",141003,"Interleukins_Receptor",0.004,0.00170245828700134,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3H","protein_coding",47252,"Chemokines",0.001,0.000461563833007523,1038.67752414914,0.644896572940467,0.000374287311007098,0.64649438254414,"Positive"
"AQP3","protein_coding",11516,"Antigen_Processing_and_Presentation",0.007,0.00286076554242869,1365.73343592179,0.533082586009643,0.00503007711196432,0.540931548929613,"Positive"
"AQP3","protein_coding",131516,"Interleukins",0.001,0.000461563833007523,1365.73343592179,0.533082586009643,0.00503007711196432,0.540931548929613,"Positive"
"ARIH1","protein_coding",101746,"Cytokine_Receptors",0.004,0.00170245828700134,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ATL3","protein_coding",522186,"TNF_Family_Members_Receptors",0.006,0.00248056139104216,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATP11C","protein_coding",167602,"TCRsignalingPathway",0.005,0.0020951854074873,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
