"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",5985,"Antigen_Processing_and_Presentation",0.006,0.00321234011790701,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",80985,"Cytokines",0.001,0.000611277814374015,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",155985,"NaturalKiller_Cell_Cytotoxicity",0.008,0.00417359653127633,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ACAP1","protein_coding",196207,"TGFb_Family_Member_Receptor",0.003,0.00170363070907144,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADA2","protein_coding",196997,"TGFb_Family_Member_Receptor",0.005,0.00272078371888186,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADPGK","protein_coding",175285,"TCRsignalingPathway",0.006,0.00321234011790701,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",105523,"Interferons",0.001,0.000611277814374015,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AFF1","protein_coding",208225,"TGFb_Family_Member_Receptor",0.001,0.000611277814374015,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AGT","protein_coding",127106,"Interleukins",0.001,0.000611277814374015,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",37106,"BCRSignalingPathway",0.001,0.000611277814374015,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",52106,"Chemokines",0.005,0.00272078371888186,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",157106,"NaturalKiller_Cell_Cytotoxicity",0.001,0.000611277814374015,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",217106,"TNF_Family_Members",0.009,0.00464185613348653,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",142106,"Interleukins_Receptor",0.001,0.000611277814374015,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"ALDH1A3","protein_coding",363176,"Interferons",0.002,0.00117035193144039,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALPK1","protein_coding",211225,"TNF_Family_Members",0.002,0.00117035193144039,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",91225,"Cytokine_Receptors",0.001,0.000611277814374015,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ANKK1","protein_coding",117686,"Interferons",0.002,0.00117035193144039,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKK1","protein_coding",57686,"Chemokines",0.006,0.00321234011790701,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKRD50","protein_coding",39359,"BCRSignalingPathway",0.001,0.000611277814374015,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANTKMT","protein_coding",227788,"TNF_Family_Members_Receptors",0.001,0.000611277814374015,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"AP4E1","protein_coding",16518,"Antimicrobials",0.001,0.000611277814374015,1420.74284004258,0.514275952122196,0.00717078627444315,0.524293952923493,"Positive"
"APOBEC3D","protein_coding",444514,"TCRsignalingPathway",0.003,0.00170363070907144,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3D","protein_coding",409426,"Interleukins_Receptor",0.001,0.000611277814374015,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3D","protein_coding",269074,"Antimicrobials",0.001,0.000611277814374015,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3F","protein_coding",186003,"TGFb_Family_Member",0.003,0.00170363070907144,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",21003,"Antimicrobials",0.001,0.000611277814374015,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",36003,"BCRSignalingPathway",0.008,0.00417359653127633,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3H","protein_coding",197252,"TGFb_Family_Member_Receptor",0.008,0.00417359653127633,1038.67752414914,0.644896572940467,0.000374287311007098,0.64649438254414,"Positive"
"AQP3","protein_coding",131508,"Interleukins",0.002,0.00117035193144039,1365.73343592179,0.533082586009643,0.00503007711196432,0.540931548929613,"Positive"
"ARHGAP30","protein_coding",468972,"TGFb_Family_Member_Receptor",0.002,0.00117035193144039,1136.69428058253,0.611386570741015,0.000902578864692064,0.614095648250638,"Positive"
"ARIH1","protein_coding",161738,"NaturalKiller_Cell_Cytotoxicity",0.006,0.00321234011790701,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
