"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",230985,"TNF_Family_Members_Receptors",0.004,0.00161981243267847,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ACAP1","protein_coding",16207,"Antimicrobials",0.005,0.00199513832160891,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ACAP1","protein_coding",61207,"Chemokine_Receptors",0.004,0.00161981243267847,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADAM10","protein_coding",7524,"Antigen_Processing_and_Presentation",0.001,0.000436345624369286,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",202524,"TGFb_Family_Member_Receptor",0.001,0.000436345624369286,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",40294,"BCRSignalingPathway",0.001,0.000436345624369286,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",85294,"Cytokines",0.006,0.00236353580198197,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",120523,"Interleukins",0.004,0.00161981243267847,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",195523,"TGFb_Family_Member_Receptor",0.001,0.000436345624369286,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",60523,"Chemokine_Receptors",0.001,0.000436345624369286,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",105523,"Interferons",0.004,0.00161981243267847,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AFF1","protein_coding",73248,"Chemokine_Receptors",0.002,0.000843695195358332,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AFF1","protein_coding",223248,"TNF_Family_Members",0.002,0.000843695195358332,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AFF1","protein_coding",118248,"Interferons",0.002,0.000843695195358332,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AGT","protein_coding",202112,"TGFb_Family_Member_Receptor",0.004,0.00161981243267847,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",7112,"Antigen_Processing_and_Presentation",0.002,0.000843695195358332,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",187112,"TGFb_Family_Member",0.001,0.000436345624369286,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",127112,"Interleukins",0.007,0.0027270374582408,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AICDA","protein_coding",108945,"Interferons",0.003,0.00123664274305368,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AICDA","protein_coding",3945,"Antigen_Processing_and_Presentation",0.004,0.00161981243267847,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AICDA","protein_coding",63945,"Chemokine_Receptors",0.002,0.000843695195358332,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AIM2","protein_coding",26006,"Antimicrobials",0.002,0.000843695195358332,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ALDH1A3","protein_coding",314577,"Chemokine_Receptors",0.002,0.000843695195358332,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALDH1A3","protein_coding",240429,"Antigen_Processing_and_Presentation",0.002,0.000843695195358332,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALDH1A3","protein_coding",425799,"NaturalKiller_Cell_Cytotoxicity",0.003,0.00123664274305368,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ANKK1","protein_coding",57700,"Chemokines",0.001,0.000436345624369286,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKRD50","protein_coding",39367,"BCRSignalingPathway",0.002,0.000843695195358332,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANKRD50","protein_coding",24367,"Antimicrobials",0.001,0.000436345624369286,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANTKMT","protein_coding",2788,"Antigen_Processing_and_Presentation",0.006,0.00236353580198197,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"AP4E1","protein_coding",31518,"BCRSignalingPathway",0.001,0.000436345624369286,1420.74284004258,0.514275952122196,0.00717078627444315,0.524293952923493,"Positive"
"AP4E1","protein_coding",1518,"Antigen_Processing_and_Presentation",0.004,0.00161981243267847,1420.74284004258,0.514275952122196,0.00717078627444315,0.524293952923493,"Positive"
"APOBEC3F","protein_coding",66003,"Chemokine_Receptors",0.004,0.00161981243267847,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",201003,"TGFb_Family_Member_Receptor",0.006,0.00236353580198197,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",51003,"Chemokines",0.001,0.000436345624369286,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",231003,"TNF_Family_Members_Receptors",0.003,0.00123664274305368,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",111003,"Interferons",0.001,0.000436345624369286,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3H","protein_coding",137252,"Interleukins_Receptor",0.009,0.00344095866994278,1038.67752414914,0.644896572940467,0.000374287311007098,0.64649438254414,"Positive"
"ARIH1","protein_coding",176747,"TCRsignalingPathway",0.001,0.000436345624369286,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ATL3","protein_coding",518588,"TNF_Family_Members_Receptors",0.002,0.000843695195358332,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATL3","protein_coding",407366,"Interleukins_Receptor",0.003,0.00123664274305368,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATL3","protein_coding",481514,"TGFb_Family_Member_Receptor",0.005,0.00199513832160891,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATP11C","protein_coding",167602,"TCRsignalingPathway",0.007,0.0027270374582408,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP11C","protein_coding",107602,"Interferons",0.004,0.00161981243267847,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP11C","protein_coding",32602,"BCRSignalingPathway",0.005,0.00199513832160891,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP5F1D","protein_coding",167105,"TCRsignalingPathway",0.002,0.000843695195358332,4584.28366247963,-0.567276465805002,0.00253840620882584,-561.738056099379,"Negative"
"ATP5F1D","protein_coding",197105,"TGFb_Family_Member_Receptor",0.006,0.00236353580198197,4584.28366247963,-0.567276465805002,0.00253840620882584,-561.738056099379,"Negative"
"ATP5F1D","protein_coding",62105,"Chemokine_Receptors",0.009,0.00344095866994278,4584.28366247963,-0.567276465805002,0.00253840620882584,-561.738056099379,"Negative"
"B3GNT2","protein_coding",27732,"Antimicrobials",0.002,0.000843695195358332,1448.74762759498,0.504701665779496,0.0085257945956671,0.515964210574993,"Positive"
"B3GNT2","protein_coding",222732,"TNF_Family_Members",0.002,0.000843695195358332,1448.74762759498,0.504701665779496,0.0085257945956671,0.515964210574993,"Positive"
"BACH1","protein_coding",144926,"Interleukins_Receptor",0.006,0.00236353580198197,1398.73907839426,0.521798605677175,0.00623735798105223,0.530769597843549,"Positive"
"BATF","protein_coding",114905,"Interferons",0.006,0.00236353580198197,1035.67701119709,0.645922389334327,0.000363738951085456,0.647470992521415,"Positive"
"BATF","protein_coding",54905,"Chemokines",0.001,0.000436345624369286,1035.67701119709,0.645922389334327,0.000363738951085456,0.647470992521415,"Positive"
"BAZ2B","protein_coding",170404,"TCRsignalingPathway",0.005,0.00199513832160891,1352.73121312961,0.53752779038304,0.00461206094517627,0.54500129939168,"Positive"
"BCAR3","protein_coding",217536,"TNF_Family_Members",0.002,0.000843695195358332,1445.74711464293,0.505727482173356,0.00837108412473101,0.516829231817678,"Positive"
"BHLHE40","protein_coding",141806,"Interleukins_Receptor",0.005,0.00199513832160891,1115.69068991823,0.61856728549804,0.00075369385120556,0.620993233712335,"Positive"
"BLZF1","protein_coding",139710,"Interleukins_Receptor",0.004,0.00161981243267847,1161.69855518289,0.602838100792175,0.00111246408981686,0.60601076337649,"Positive"
"BLZF1","protein_coding",4710,"Antigen_Processing_and_Presentation",0.005,0.00199513832160891,1161.69855518289,0.602838100792175,0.00111246408981686,0.60601076337649,"Positive"
"BLZF1","protein_coding",49710,"Chemokines",0.004,0.00161981243267847,1161.69855518289,0.602838100792175,0.00111246408981686,0.60601076337649,"Positive"
"C11orf80","protein_coding",13488,"Antigen_Processing_and_Presentation",0.001,0.000436345624369286,1276.71821834453,0.563515139027513,0.00271101431513922,0.569004217422484,"Positive"
"CBLN1","protein_coding",77728,"Cytokines",0.002,0.000843695195358332,4571.28143968745,-0.562831261431606,0.00279087834838033,-543.045577856664,"Negative"
"CCL17","protein_coding",182734,"TGFb_Family_Member",0.001,0.000436345624369286,1319.72557065714,0.548811770715508,0.00368080065976747,0.555379682666035,"Positive"
"CCL17","protein_coding",17734,"Antimicrobials",0.004,0.00161981243267847,1319.72557065714,0.548811770715508,0.00368080065976747,0.555379682666035,"Positive"
"CCL23","protein_coding",517321,"TNF_Family_Members",0.005,0.00199513832160891,1372.67302050997,0.53071007845813,0.00526599198313328,0.538771098642988,"Positive"
"CCL8","protein_coding",78572,"Cytokines",0.003,0.00123664274305368,1373.73480379391,0.530347075626015,0.00530289905699508,0.53843163470568,"Positive"
"CCN5","protein_coding",878,"Antigen_Processing_and_Presentation",0.002,0.000843695195358332,1000.67102675659,0.657890247262703,0.000258551349925645,0.659046192110541,"Positive"
"CCN5","protein_coding",150878,"NaturalKiller_Cell_Cytotoxicity",0.001,0.000436345624369286,1000.67102675659,0.657890247262703,0.000258551349925645,0.659046192110541,"Positive"
"CCN5","protein_coding",180878,"TGFb_Family_Member",0.004,0.00161981243267847,1000.67102675659,0.657890247262703,0.000258551349925645,0.659046192110541,"Positive"
"CCR2","protein_coding",110193,"Interferons",0.005,0.00199513832160891,1130.69325467845,0.613438203528737,0.000857645450564953,0.616107034660301,"Positive"
"CCR2","protein_coding",215193,"TNF_Family_Members",0.001,0.000436345624369286,1130.69325467845,0.613438203528737,0.000857645450564953,0.616107034660301,"Positive"
"CCR5","protein_coding",220491,"TNF_Family_Members",0.003,0.00123664274305368,1273.71770539248,0.564540955421374,0.00265239975898054,0.569917680193993,"Positive"
"CCR7","protein_coding",230796,"TNF_Family_Members_Receptors",0.002,0.000843695195358332,1045.67872103724,0.642503001354791,0.000399945003991975,0.644180688976564,"Positive"
"CCR8","protein_coding",59583,"Chemokines",0.002,0.000843695195358332,1457.52786855756,0.501699873997414,0.0089923105765631,0.513350497855845,"Positive"
"CCR8","protein_coding",239583,"TNF_Family_Members_Receptors",0.003,0.00123664274305368,1457.52786855756,0.501699873997414,0.0089923105765631,0.513350497855845,"Positive"
"CD1C","protein_coding",220183,"TNF_Family_Members",0.001,0.000436345624369286,1309.723860817,0.552231158695044,0.00343233355775986,0.55856960030471,"Positive"
"CD2","protein_coding",109627,"Interferons",0.004,0.00161981243267847,1050.67957595731,0.640793307365023,0.000419199367462457,0.642500769080936,"Positive"
"CD27","protein_coding",142757,"Interleukins_Receptor",0.007,0.0027270374582408,1128.69291271042,0.614122081124644,0.000843104837342693,0.616678669725915,"Positive"
"CD300E","protein_coding",518989,"TNF_Family_Members_Receptors",0.005,0.00199513832160891,1384.73668461806,0.526585748848525,0.00569835037891627,0.534988259177632,"Positive"
"CD40","protein_coding",227426,"TNF_Family_Members_Receptors",0.001,0.000436345624369286,1451.74814054702,0.503675849385635,0.00868288820056784,0.515176235737097,"Positive"
"CD48","protein_coding",229662,"TNF_Family_Members_Receptors",0.006,0.00236353580198197,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"CD48","protein_coding",109662,"Interferons",0.001,0.000436345624369286,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"CD48","protein_coding",214662,"TNF_Family_Members",0.005,0.00199513832160891,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"CD48","protein_coding",139662,"Interleukins_Receptor",0.008,0.00308573047580649,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"CD52","protein_coding",147539,"Interleukins_Receptor",0.001,0.000436345624369286,1155.6975292788,0.604889733579897,0.00105858710244556,0.607927026117837,"Positive"
"CD52","protein_coding",117539,"Interferons",0.002,0.000843695195358332,1155.6975292788,0.604889733579897,0.00105858710244556,0.607927026117837,"Positive"
"CD52","protein_coding",222539,"TNF_Family_Members",0.009,0.00344095866994278,1155.6975292788,0.604889733579897,0.00105858710244556,0.607927026117837,"Positive"
"CD6","protein_coding",105344,"Interferons",0.001,0.000436345624369286,1309.723860817,0.552231158695044,0.00343233355775986,0.55856960030471,"Positive"
"CD6","protein_coding",15344,"Antimicrobials",0.007,0.0027270374582408,1309.723860817,0.552231158695044,0.00343233355775986,0.55856960030471,"Positive"
"CD6","protein_coding",210344,"TNF_Family_Members",0.008,0.00308573047580649,1309.723860817,0.552231158695044,0.00343233355775986,0.55856960030471,"Positive"
"CD74","protein_coding",45394,"Chemokines",0.004,0.00161981243267847,1356.73189706566,0.536160035191226,0.00473742643488293,0.543731733303076,"Positive"
"CDC34","protein_coding",17116,"Antimicrobials",0.002,0.000843695195358332,4742.31067795388,-0.621302795881669,0.000715280918625112,-2597.66698958126,"Negative"
"CELSR1","protein_coding",106297,"Interferons",0.001,0.000436345624369286,1461.74985038716,0.500256461406099,0.00922411109197357,0.512152098660049,"Positive"
"CENPC","protein_coding",173636,"TCRsignalingPathway",0.001,0.000436345624369286,1336.72847738538,0.542998811150297,0.00413829391964197,0.550029672250849,"Positive"
"CEP104","protein_coding",64545,"Chemokine_Receptors",0.003,0.00123664274305368,1146.69599042267,0.607967182761479,0.000982004198925265,0.610824156145881,"Positive"
"CEP104","protein_coding",109545,"Interferons",0.001,0.000436345624369286,1146.69599042267,0.607967182761479,0.000982004198925265,0.610824156145881,"Positive"
"CFLAR","protein_coding",45039,"Chemokines",0.007,0.0027270374582408,1441.74643070688,0.507095237365171,0.00816846193414697,0.517969724661745,"Positive"
"CLEC12A","protein_coding",148199,"Interleukins_Receptor",0.007,0.0027270374582408,1295.7214670408,0.557018301866395,0.00310854752212065,0.562957715968269,"Positive"
"CLEC12B","protein_coding",403234,"Interleukins",0.001,0.000436345624369286,1346.57191363906,0.539633533798611,0.00442454800017762,0.546974201145026,"Positive"
"CLEC12B","protein_coding",347623,"Cytokines",0.001,0.000436345624369286,1346.57191363906,0.539633533798611,0.00442454800017762,0.546974201145026,"Positive"
"CLEC2D","protein_coding",61078,"Chemokine_Receptors",0.001,0.000436345624369286,835.642814394243,0.714310148925045,4.13851383299642e-05,0.714690010207677,"Positive"
"CLNK","protein_coding",213685,"TNF_Family_Members",0.002,0.000843695195358332,981.667778060323,0.664387084423821,0.00021347825815731,0.665412727896089,"Positive"
"CLNK","protein_coding",168685,"TCRsignalingPathway",0.003,0.00123664274305368,981.667778060323,0.664387084423821,0.00021347825815731,0.665412727896089,"Positive"
"CNR2","protein_coding",519523,"TNF_Family_Members_Receptors",0.002,0.000843695195358332,1349.03477802892,0.538791528879001,0.00449873702522512,0.546194305886148,"Positive"
"CNR2","protein_coding",371227,"Interferons",0.008,0.00308573047580649,1349.03477802892,0.538791528879001,0.00449873702522512,0.546194305886148,"Positive"
"CPLX1","protein_coding",12429,"Antigen_Processing_and_Presentation",0.004,0.00161981243267847,4392.2508335489,-0.501624216597913,0.00911365309870309,-120.226863989572,"Negative"
"CPLX1","protein_coding",117429,"Interferons",0.009,0.00344095866994278,4392.2508335489,-0.501624216597913,0.00911365309870309,-120.226863989572,"Negative"
"CREB3L2","protein_coding",119958,"Interferons",0.001,0.000436345624369286,1448.74762759498,0.504701665779496,0.0085257945956671,0.515964210574993,"Positive"
"CRISPLD2","protein_coding",212776,"TNF_Family_Members",0.001,0.000436345624369286,1308.72368983298,0.552573097492998,0.00340829126047267,0.558870396064078,"Positive"
"CSDE1","protein_coding",165232,"TCRsignalingPathway",0.001,0.000436345624369286,1428.74420791469,0.511540441738567,0.00753805831396215,0.521886920320488,"Positive"
"CSDE1","protein_coding",195232,"TGFb_Family_Member_Receptor",0.001,0.000436345624369286,1428.74420791469,0.511540441738567,0.00753805831396215,0.521886920320488,"Positive"
"CSF2RB","protein_coding",212286,"TNF_Family_Members",0.001,0.000436345624369286,1326.72676754524,0.546418199129833,0.00386368330221556,0.553210385962184,"Positive"
"CSNK1G1","protein_coding",12459,"Antigen_Processing_and_Presentation",0.002,0.000843695195358332,1130.69325467845,0.613438203528737,0.000857645450564953,0.616107034660301,"Positive"
"CSNK1G1","protein_coding",27459,"Antimicrobials",0.002,0.000843695195358332,1130.69325467845,0.613438203528737,0.000857645450564953,0.616107034660301,"Positive"
"CTLA4","protein_coding",191015,"TGFb_Family_Member",0.001,0.000436345624369286,1108.68949303013,0.620960857083716,0.000709049359243267,0.623213295580592,"Positive"
"CTSG","protein_coding",107315,"Interferons",0.002,0.000843695195358332,1251.9854509397,0.571970786003522,0.00225928060429823,0.576861128558738,"Positive"
"CTSG","protein_coding",32315,"BCRSignalingPathway",0.009,0.00344095866994278,1251.9854509397,0.571970786003522,0.00225928060429823,0.576861128558738,"Positive"
"CTSG","protein_coding",167315,"TCRsignalingPathway",0.002,0.000843695195358332,1251.9854509397,0.571970786003522,0.00225928060429823,0.576861128558738,"Positive"
"CTSH","protein_coding",182853,"TGFb_Family_Member",0.004,0.00161981243267847,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"CTSW","protein_coding",58257,"Chemokines",0.002,0.000843695195358332,662.613234159779,0.773465560971016,3.58215621167452e-06,0.773486116556244,"Positive"
"CXCL13","protein_coding",24919,"Antimicrobials",0.002,0.000843695195358332,1300.72232196087,0.555308607876627,0.00322105984391529,0.561410736318904,"Positive"
"CXCL9","protein_coding",187696,"TGFb_Family_Member",0.005,0.00199513832160891,1146.69599042267,0.607967182761479,0.000982004198925265,0.610824156145881,"Positive"
"CXCL9","protein_coding",202696,"TGFb_Family_Member_Receptor",0.001,0.000436345624369286,1146.69599042267,0.607967182761479,0.000982004198925265,0.610824156145881,"Positive"
"CXCR6","protein_coding",58176,"Chemokines",0.001,0.000436345624369286,1279.71873129657,0.562489322633652,0.00277073157102303,0.568059869065531,"Positive"
"CYP4B1","protein_coding",233266,"TNF_Family_Members_Receptors",0.008,0.00308573047580649,1341.45861833105,0.541381668946648,0.00427382481684113,0.548568796337608,"Positive"
"CYP4B1","protein_coding",38266,"BCRSignalingPathway",0.008,0.00308573047580649,1341.45861833105,0.541381668946648,0.00427382481684113,0.548568796337608,"Positive"
"DDX60L","protein_coding",89826,"Cytokines",0.005,0.00199513832160891,1428.74420791469,0.511540441738567,0.00753805831396215,0.521886920320488,"Positive"
"DENND6A","protein_coding",13664,"Antigen_Processing_and_Presentation",0.006,0.00236353580198197,1323.72625459319,0.547444015523694,0.00378438180823542,0.554159493722355,"Positive"
"DENND6A","protein_coding",73664,"Chemokine_Receptors",0.003,0.00123664274305368,1323.72625459319,0.547444015523694,0.00378438180823542,0.554159493722355,"Positive"
"DHX58","protein_coding",228576,"TNF_Family_Members_Receptors",0.005,0.00199513832160891,1290.72061212072,0.558727995856163,0.00299940203297901,0.564518856055408,"Positive"
"DHX58","protein_coding",33576,"BCRSignalingPathway",0.002,0.000843695195358332,1290.72061212072,0.558727995856163,0.00299940203297901,0.564518856055408,"Positive"
"DNAJC21","protein_coding",132361,"Interleukins",0.002,0.000843695195358332,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
"DNAJC21","protein_coding",42361,"BCRSignalingPathway",0.008,0.00308573047580649,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
"DNASE2","protein_coding",48140,"Chemokines",0.001,0.000436345624369286,1328.72710951327,0.545734321533926,0.00391733126754652,0.552592346617515,"Positive"
"DNASE2","protein_coding",18140,"Antimicrobials",0.001,0.000436345624369286,1328.72710951327,0.545734321533926,0.00391733126754652,0.552592346617515,"Positive"
"DNASE2","protein_coding",63140,"Chemokine_Receptors",0.003,0.00123664274305368,1328.72710951327,0.545734321533926,0.00391733126754652,0.552592346617515,"Positive"
"DNASE2","protein_coding",123140,"Interleukins",0.002,0.000843695195358332,1328.72710951327,0.545734321533926,0.00391733126754652,0.552592346617515,"Positive"
