"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",35983,"BCRSignalingPathway",0.004,0.00413343796296574,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",110983,"Interferons",0.001,0.00119206228170114,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ACAP1","protein_coding",16207,"Antimicrobials",0.003,0.00320832085341294,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADA2","protein_coding",196996,"TGFb_Family_Member_Receptor",0.006,0.00588539120375482,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADAM10","protein_coding",7514,"Antigen_Processing_and_Presentation",0.001,0.00119206228170114,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",22514,"Antimicrobials",0.003,0.00320832085341294,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",40279,"BCRSignalingPathway",0.004,0.00413343796296574,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",115279,"Interferons",0.001,0.00119206228170114,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",100279,"Cytokine_Receptors",0.001,0.00119206228170114,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",120523,"Interleukins",0.005,0.00502306720313583,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"ADSS2","protein_coding",150523,"NaturalKiller_Cell_Cytotoxicity",0.001,0.00119206228170114,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
"AFF1","protein_coding",148217,"Interleukins_Receptor",0.001,0.00119206228170114,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AFF1","protein_coding",133217,"Interleukins",0.008,0.00754300546668036,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AFF1","protein_coding",58217,"Chemokines",0.001,0.00119206228170114,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AGT","protein_coding",217104,"TNF_Family_Members",0.005,0.00502306720313583,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AHNAK","protein_coding",125589,"Interleukins",0.006,0.00588539120375482,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AICDA","protein_coding",213943,"TNF_Family_Members",0.005,0.00502306720313583,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AICDA","protein_coding",3943,"Antigen_Processing_and_Presentation",0.002,0.00223619155499685,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AICDA","protein_coding",63943,"Chemokine_Receptors",0.001,0.00119206228170114,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AIM2","protein_coding",25988,"Antimicrobials",0.009,0.0083453847196685,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"AIM2","protein_coding",190988,"TGFb_Family_Member",0.001,0.00119206228170114,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ALDH1A3","protein_coding",393866,"Interleukins_Receptor",0.003,0.00320832085341294,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALDH1A3","protein_coding",462094,"TGFb_Family_Member_Receptor",0.008,0.00754300546668036,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALDH1A3","protein_coding",410923,"NaturalKiller_Cell_Cytotoxicity",0.001,0.00119206228170114,1138.69462255056,0.610702693145108,0.000918002907308156,0.613474242247718,"Positive"
"ALPK1","protein_coding",226225,"TNF_Family_Members_Receptors",0.003,0.00320832085341294,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",151225,"NaturalKiller_Cell_Cytotoxicity",0.001,0.00119206228170114,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ANKK1","protein_coding",102675,"Cytokine_Receptors",0.001,0.00119206228170114,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKK1","protein_coding",177675,"TCRsignalingPathway",0.001,0.00119206228170114,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKRD13A","protein_coding",136346,"Interleukins_Receptor",0.001,0.00119206228170114,1413.74164315448,0.516669523707871,0.00686185686349522,0.5262921281937,"Positive"
"ANKRD50","protein_coding",129352,"Interleukins",0.007,0.00672294610619585,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANTKMT","protein_coding",212787,"TNF_Family_Members",0.003,0.00320832085341294,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"ANTKMT","protein_coding",122787,"Interleukins",0.003,0.00320832085341294,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"ANTKMT","protein_coding",77787,"Cytokines",0.009,0.0083453847196685,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"ANXA1","protein_coding",126963,"Interleukins",0.008,0.00754300546668036,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"ANXA1","protein_coding",156963,"NaturalKiller_Cell_Cytotoxicity",0.002,0.00223619155499685,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"ANXA1","protein_coding",81963,"Cytokines",0.007,0.00672294610619585,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"ANXA1","protein_coding",36963,"BCRSignalingPathway",0.003,0.00320832085341294,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"AP4E1","protein_coding",1518,"Antigen_Processing_and_Presentation",0.001,0.00119206228170114,1420.74284004258,0.514275952122196,0.00717078627444315,0.524293952923493,"Positive"
"APOBEC3D","protein_coding",319480,"Chemokine_Receptors",0.001,0.00119206228170114,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3F","protein_coding",186001,"TGFb_Family_Member",0.003,0.00320832085341294,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",81001,"Cytokines",0.004,0.00413343796296574,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",66001,"Chemokine_Receptors",0.005,0.00502306720313583,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",231001,"TNF_Family_Members_Receptors",0.001,0.00119206228170114,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",201001,"TGFb_Family_Member_Receptor",0.002,0.00223619155499685,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3H","protein_coding",137251,"Interleukins_Receptor",0.001,0.00119206228170114,1038.67752414914,0.644896572940467,0.000374287311007098,0.64649438254414,"Positive"
"APOBEC3H","protein_coding",212251,"TNF_Family_Members",0.004,0.00413343796296574,1038.67752414914,0.644896572940467,0.000374287311007098,0.64649438254414,"Positive"
"APOBEC3H","protein_coding",122251,"Interleukins",0.003,0.00320832085341294,1038.67752414914,0.644896572940467,0.000374287311007098,0.64649438254414,"Positive"
"AQP3","protein_coding",41499,"BCRSignalingPathway",0.005,0.00502306720313583,1365.73343592179,0.533082586009643,0.00503007711196432,0.540931548929613,"Positive"
"AQP3","protein_coding",131499,"Interleukins",0.001,0.00119206228170114,1365.73343592179,0.533082586009643,0.00503007711196432,0.540931548929613,"Positive"
"ARHGAP30","protein_coding",462624,"TGFb_Family_Member_Receptor",0.003,0.00320832085341294,1136.69428058253,0.611386570741015,0.000902578864692064,0.614095648250638,"Positive"
"ARHGAP30","protein_coding",479681,"TNF_Family_Members",0.004,0.00413343796296574,1136.69428058253,0.611386570741015,0.000902578864692064,0.614095648250638,"Positive"
"ARHGAP30","protein_coding",377339,"Interleukins",0.001,0.00119206228170114,1136.69428058253,0.611386570741015,0.000902578864692064,0.614095648250638,"Positive"
"ARIH1","protein_coding",146729,"Interleukins_Receptor",0.006,0.00588539120375482,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ARIH1","protein_coding",191729,"TGFb_Family_Member",0.004,0.00413343796296574,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ARIH1","protein_coding",11729,"Antigen_Processing_and_Presentation",0.002,0.00223619155499685,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ATL3","protein_coding",376912,"Interleukins",0.007,0.00672294610619585,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATL3","protein_coding",240456,"Antigen_Processing_and_Presentation",0.006,0.00588539120375482,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATP11C","protein_coding",107601,"Interferons",0.003,0.00320832085341294,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP11C","protein_coding",17601,"Antimicrobials",0.003,0.00320832085341294,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP5F1D","protein_coding",107104,"Interferons",0.001,0.00119206228170114,4584.28366247963,-0.567276465805002,0.00253840620882584,-561.738056099379,"Negative"
"ATP5F1D","protein_coding",77104,"Cytokines",0.001,0.00119206228170114,4584.28366247963,-0.567276465805002,0.00253840620882584,-561.738056099379,"Negative"
"ATP7A","protein_coding",236491,"TNF_Family_Members_Receptors",0.007,0.00672294610619585,971.666068220181,0.667806472403357,0.000192649108879243,0.668659422316222,"Positive"
"ATP7A","protein_coding",11491,"Antigen_Processing_and_Presentation",0.003,0.00320832085341294,971.666068220181,0.667806472403357,0.000192649108879243,0.668659422316222,"Positive"
"ATP7A","protein_coding",56491,"Chemokines",0.002,0.00223619155499685,971.666068220181,0.667806472403357,0.000192649108879243,0.668659422316222,"Positive"
"ATXN7","protein_coding",41018,"BCRSignalingPathway",0.004,0.00413343796296574,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
"ATXN7","protein_coding",221018,"TNF_Family_Members",0.007,0.00672294610619585,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
"ATXN7","protein_coding",161018,"NaturalKiller_Cell_Cytotoxicity",0.001,0.00119206228170114,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
"ATXN7","protein_coding",236018,"TNF_Family_Members_Receptors",0.001,0.00119206228170114,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
"ATXN7","protein_coding",26018,"Antimicrobials",0.002,0.00223619155499685,1341.72933230545,0.54128911716053,0.00428169397934862,0.548489785637097,"Positive"
"B3GNT2","protein_coding",162707,"NaturalKiller_Cell_Cytotoxicity",0.001,0.00119206228170114,1448.74762759498,0.504701665779496,0.0085257945956671,0.515964210574993,"Positive"
"B3GNT2","protein_coding",147707,"Interleukins_Receptor",0.001,0.00119206228170114,1448.74762759498,0.504701665779496,0.0085257945956671,0.515964210574993,"Positive"
"B4GALT1","protein_coding",46683,"Chemokines",0.005,0.00502306720313583,1226.70966914381,0.580612078925192,0.00186582226220681,0.585090166783858,"Positive"
"B4GALT1","protein_coding",76683,"Cytokines",0.009,0.0083453847196685,1226.70966914381,0.580612078925192,0.00186582226220681,0.585090166783858,"Positive"
"B4GALT1","protein_coding",196683,"TGFb_Family_Member_Receptor",0.001,0.00119206228170114,1226.70966914381,0.580612078925192,0.00186582226220681,0.585090166783858,"Positive"
"B4GALT1","protein_coding",106683,"Interferons",0.004,0.00413343796296574,1226.70966914381,0.580612078925192,0.00186582226220681,0.585090166783858,"Positive"
"BACH1","protein_coding",9911,"Antigen_Processing_and_Presentation",0.006,0.00588539120375482,1398.73907839426,0.521798605677175,0.00623735798105223,0.530769597843549,"Positive"
"BACH1","protein_coding",69911,"Chemokine_Receptors",0.002,0.00223619155499685,1398.73907839426,0.521798605677175,0.00623735798105223,0.530769597843549,"Positive"
"BAG3","protein_coding",24422,"Antimicrobials",0.003,0.00320832085341294,1084.68538941379,0.629167388234601,0.000572936003163684,0.631180240792338,"Positive"
"BATF","protein_coding",219890,"TNF_Family_Members",0.003,0.00320832085341294,1035.67701119709,0.645922389334327,0.000363738951085456,0.647470992521415,"Positive"
"BATF","protein_coding",144890,"Interleukins_Receptor",0.001,0.00119206228170114,1035.67701119709,0.645922389334327,0.000363738951085456,0.647470992521415,"Positive"
"BAZ2B","protein_coding",155402,"NaturalKiller_Cell_Cytotoxicity",0.002,0.00223619155499685,1352.73121312961,0.53752779038304,0.00461206094517627,0.54500129939168,"Positive"
"BAZ2B","protein_coding",95402,"Cytokine_Receptors",0.005,0.00502306720313583,1352.73121312961,0.53752779038304,0.00461206094517627,0.54500129939168,"Positive"
"BAZ2B","protein_coding",170402,"TCRsignalingPathway",0.001,0.00119206228170114,1352.73121312961,0.53752779038304,0.00461206094517627,0.54500129939168,"Positive"
"BAZ2B","protein_coding",35402,"BCRSignalingPathway",0.002,0.00223619155499685,1352.73121312961,0.53752779038304,0.00461206094517627,0.54500129939168,"Positive"
"BAZ2B","protein_coding",185402,"TGFb_Family_Member",0.005,0.00502306720313583,1352.73121312961,0.53752779038304,0.00461206094517627,0.54500129939168,"Positive"
"BAZ2B","protein_coding",20402,"Antimicrobials",0.003,0.00320832085341294,1352.73121312961,0.53752779038304,0.00461206094517627,0.54500129939168,"Positive"
"BCAR3","protein_coding",232526,"TNF_Family_Members_Receptors",0.002,0.00223619155499685,1445.74711464293,0.505727482173356,0.00837108412473101,0.516829231817678,"Positive"
"BCAR3","protein_coding",52526,"Chemokines",0.008,0.00754300546668036,1445.74711464293,0.505727482173356,0.00837108412473101,0.516829231817678,"Positive"
"BHLHE40","protein_coding",186798,"TGFb_Family_Member",0.002,0.00223619155499685,1115.69068991823,0.61856728549804,0.00075369385120556,0.620993233712335,"Positive"
"BHLHE40","protein_coding",51798,"Chemokines",0.001,0.00119206228170114,1115.69068991823,0.61856728549804,0.00075369385120556,0.620993233712335,"Positive"
"BNIP2","protein_coding",187900,"TGFb_Family_Member",0.005,0.00502306720313583,962.664529364053,0.670883921584939,0.000175450596846255,0.6717050550866,"Positive"
