"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",140985,"Interleukins_Receptor",0.002,0.0012262949442739,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",170985,"TCRsignalingPathway",0.002,0.0012262949442739,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"A4GALT","protein_coding",50985,"Chemokines",0.002,0.0012262949442739,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ADAM10","protein_coding",112521,"Interferons",0.002,0.0012262949442739,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"AGT","protein_coding",97109,"Cytokine_Receptors",0.002,0.0012262949442739,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AHNAK","protein_coding",35591,"BCRSignalingPathway",0.001,0.000643029505843491,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AICDA","protein_coding",78945,"Cytokines",0.004,0.00231749521840929,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"AICDA","protein_coding",198945,"TGFb_Family_Member_Receptor",0.007,0.003849997722018,1302.1555087725,0.554818629479486,0.00325393695828565,0.560975661239348,"Positive"
"ALPK1","protein_coding",196225,"TGFb_Family_Member_Receptor",0.001,0.000643029505843491,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",76225,"Cytokines",0.003,0.00178090204855062,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",46225,"Chemokines",0.005,0.00284015172920316,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",136225,"Interleukins_Receptor",0.003,0.00178090204855062,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ANKK1","protein_coding",27696,"Antimicrobials",0.002,0.0012262949442739,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKK1","protein_coding",162696,"NaturalKiller_Cell_Cytotoxicity",0.003,0.00178090204855062,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKK1","protein_coding",42696,"BCRSignalingPathway",0.004,0.00231749521840929,1316.7250577051,0.549837587109369,0.00360470512631195,0.556313047923918,"Positive"
"ANKRD13A","protein_coding",106346,"Interferons",0.007,0.003849997722018,1413.74164315448,0.516669523707871,0.00686185686349522,0.5262921281937,"Positive"
"ANKRD13A","protein_coding",181346,"TGFb_Family_Member",0.001,0.000643029505843491,1413.74164315448,0.516669523707871,0.00686185686349522,0.5262921281937,"Positive"
"ANTKMT","protein_coding",152788,"NaturalKiller_Cell_Cytotoxicity",0.007,0.003849997722018,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"ANXA1","protein_coding",36968,"BCRSignalingPathway",0.007,0.003849997722018,1424.74352397863,0.512908196930382,0.00735249898199687,0.523083788446035,"Positive"
"AP4E1","protein_coding",106518,"Interferons",0.003,0.00178090204855062,1420.74284004258,0.514275952122196,0.00717078627444315,0.524293952923493,"Positive"
"APOBEC3D","protein_coding",307089,"Chemokines",0.004,0.00231749521840929,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3D","protein_coding",362136,"Cytokine_Receptors",0.004,0.00231749521840929,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3D","protein_coding",270391,"Antimicrobials",0.005,0.00284015172920316,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3D","protein_coding",490579,"TGFb_Family_Member_Receptor",0.001,0.000643029505843491,1302.7226639289,0.554624730280719,0.00326702611592952,0.560824818631478,"Positive"
"APOBEC3F","protein_coding",66003,"Chemokine_Receptors",0.001,0.000643029505843491,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",81003,"Cytokines",0.006,0.00334963809600728,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",141003,"Interleukins_Receptor",0.005,0.00284015172920316,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",171003,"TCRsignalingPathway",0.003,0.00178090204855062,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3F","protein_coding",201003,"TGFb_Family_Member_Receptor",0.003,0.00178090204855062,1349.73070017757,0.538553606776901,0.00451989024976933,0.545967823412038,"Positive"
"APOBEC3G","protein_coding",471198,"TGFb_Family_Member",0.002,0.0012262949442739,1288.7202701527,0.55941187345207,0.0029566681485621,0.5651642964648,"Positive"
"APOBEC3G","protein_coding",324406,"Chemokine_Receptors",0.003,0.00178090204855062,1288.7202701527,0.55941187345207,0.0029566681485621,0.5651642964648,"Positive"
"APOBEC3H","protein_coding",182252,"TGFb_Family_Member",0.004,0.00231749521840929,1038.67752414914,0.644896572940467,0.000374287311007098,0.64649438254414,"Positive"
"ARIH1","protein_coding",71744,"Chemokine_Receptors",0.001,0.000643029505843491,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ARIH1","protein_coding",236744,"TNF_Family_Members_Receptors",0.002,0.0012262949442739,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ARIH1","protein_coding",221744,"TNF_Family_Members",0.003,0.00178090204855062,1004.67171069265,0.656522492070889,0.000269037331553024,0.657693542786206,"Positive"
"ATL3","protein_coding",240523,"Antigen_Processing_and_Presentation",0.001,0.000643029505843491,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATL3","protein_coding",515758,"TNF_Family_Members_Receptors",0.001,0.000643029505843491,1211.7071043836,0.585741160894496,0.0016613404310564,0.589879677326348,"Positive"
"ATP11C","protein_coding",137602,"Interleukins_Receptor",0.003,0.00178090204855062,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
"ATP11C","protein_coding",47602,"Chemokines",0.002,0.0012262949442739,1022.67478840491,0.650367593707724,0.00032097127907729,0.651735877060664,"Positive"
