"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",95985,"Cytokine_Receptors",0.006,0.00187509881794012,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ACAP1","protein_coding",181207,"TGFb_Family_Member",0.001,0.00034061646852634,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ACAP1","protein_coding",196207,"TGFb_Family_Member_Receptor",0.001,0.00034061646852634,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ACAP1","protein_coding",16207,"Antimicrobials",0.002,0.000662143632057417,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADA2","protein_coding",106997,"Interferons",0.009,0.00274339127688842,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADA2","protein_coding",181997,"TGFb_Family_Member",0.001,0.00034061646852634,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADAM10","protein_coding",82520,"Cytokines",0.001,0.00034061646852634,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",160290,"NaturalKiller_Cell_Cytotoxicity",0.005,0.00157918103527565,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"AFF1","protein_coding",28243,"Antimicrobials",0.006,0.00187509881794012,1450.747969563,0.504017788183588,0.00863025712524901,0.51541390199093,"Positive"
"AGT","protein_coding",67108,"Chemokine_Receptors",0.001,0.00034061646852634,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AGT","protein_coding",202108,"TGFb_Family_Member_Receptor",0.004,0.00127912081178768,4548.27750705512,-0.554966669078673,0.00329020999253751,-485.647460250265,"Negative"
"AHNAK","protein_coding",50591,"Chemokines",0.003,0.000973976589187055,1156.69770026282,0.604547794781943,0.00106740671290128,0.607615827608903,"Positive"
"AIM2","protein_coding",86002,"Cytokines",0.001,0.00034061646852634,1432.74489185075,0.510172686546753,0.00772752760702268,0.52073868142062,"Positive"
"ALPK1","protein_coding",46225,"Chemokines",0.002,0.000662143632057417,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ALPK1","protein_coding",196225,"TGFb_Family_Member_Receptor",0.007,0.00216757103162865,1224.70932717578,0.581295956521099,0.00183736812075769,0.585716576460903,"Positive"
"ANKRD13A","protein_coding",46346,"Chemokines",0.009,0.00274339127688842,1413.74164315448,0.516669523707871,0.00686185686349522,0.5262921281937,"Positive"
"ANKRD50","protein_coding",84363,"Cytokines",0.001,0.00034061646852634,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANKRD50","protein_coding",129363,"Interleukins",0.003,0.000973976589187055,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANKRD50","protein_coding",114363,"Interferons",0.004,0.00127912081178768,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANKRD50","protein_coding",189363,"TGFb_Family_Member",0.001,0.00034061646852634,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANKRD50","protein_coding",39363,"BCRSignalingPathway",0.001,0.00034061646852634,1262.71582456833,0.568302282198863,0.00244664784479407,0.573468666582489,"Positive"
"ANTKMT","protein_coding",77788,"Cytokines",0.003,0.000973976589187055,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"ANTKMT","protein_coding",152788,"NaturalKiller_Cell_Cytotoxicity",0.002,0.000662143632057417,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"ANTKMT","protein_coding",47788,"Chemokines",0.008,0.00245713169265581,4431.25750192545,-0.514959829718103,0.00717077090473808,-150.212584747771,"Negative"
"AP4E1","protein_coding",226518,"TNF_Family_Members_Receptors",0.001,0.00034061646852634,1420.74284004258,0.514275952122196,0.00717078627444315,0.524293952923493,"Positive"
"AP4E1","protein_coding",31518,"BCRSignalingPathway",0.001,0.00034061646852634,1420.74284004258,0.514275952122196,0.00717078627444315,0.524293952923493,"Positive"
