"gene_name","gene_biotype","X","Pathway","Pvalue","FDR","s","Rs","PVal","adj.P.Val","sign_Rs0.5"
"A4GALT","protein_coding",80985,"Cytokines",0.004,0.00255668876564998,1260.7154826003,0.56898615979477,0.00241074472651522,0.574051001606494,"Positive"
"ACAP1","protein_coding",121207,"Interleukins",0.001,0.000713547353141965,1024.67513037294,0.649683716111817,0.000327249935199583,0.651102579528899,"Positive"
"ADA2","protein_coding",46997,"Chemokines",0.001,0.000713547353141965,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADA2","protein_coding",16997,"Antimicrobials",0.002,0.00135750045299262,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADA2","protein_coding",76997,"Cytokines",0.002,0.00135750045299262,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADA2","protein_coding",106997,"Interferons",0.001,0.000713547353141965,1457.7491664511,0.501624216597913,0.00900433855805405,0.513287041017101,"Positive"
"ADAM10","protein_coding",7522,"Antigen_Processing_and_Presentation",0.001,0.000713547353141965,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",217522,"TNF_Family_Members",0.005,0.00312860932523876,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",52522,"Chemokines",0.003,0.00196830008810227,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADAM10","protein_coding",67522,"Chemokine_Receptors",0.001,0.000713547353141965,798.636487985716,0.726961884449328,2.58492260914623e-05,0.727213120744996,"Positive"
"ADPGK","protein_coding",55291,"Chemokines",0.002,0.00135750045299262,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",190291,"TGFb_Family_Member",0.003,0.00196830008810227,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADPGK","protein_coding",220291,"TNF_Family_Members",0.002,0.00135750045299262,885.651363594956,0.697213209027366,7.52765975075855e-05,0.697695286080652,"Positive"
"ADSS2","protein_coding",150523,"NaturalKiller_Cell_Cytotoxicity",0.005,0.00312860932523876,1238.71172095198,0.576508813349749,0.00204461921796428,0.58121986222103,"Positive"
