"ID_REF"	"GSM710979"	"GSM711481"	"GSM711685"	"GSM711687"	"GSM1209565"	"GSM1209567"	"GSM1209571"
"A1BG-AS1"	"5.0052712429235"	"5.17447367869928"	"5.05175777276461"	"5.24295482728058"	"5.21187471570009"	"5.25842453570675"	"4.91739508139983"
"A2M-AS1"	"4.38784952517083"	"4.44533490261942"	"4.25601388428165"	"4.35000517489667"	"4.55443414165382"	"4.22398892840092"	"4.33052760717408"
"AA06"	"5.47232972835686"	"5.55209013357978"	"5.41826682929389"	"5.48191328643807"	"5.35474251140185"	"5.53079205797314"	"5.5941452371606"
"AATBC"	"5.11369898395578"	"5.08553094778579"	"4.8850186794942"	"5.1318389398195"	"5.26484150792954"	"5.29696899119247"	"4.64175450347586"
"ABALON"	"6.91545183585172"	"6.80223948422051"	"6.89939920782619"	"7.10525326698569"	"6.87729701566688"	"7.08194357494813"	"6.77719295283561"
"ABCA9-AS1"	"3.22310906903587"	"3.39200294743403"	"3.33259575039777"	"3.21887069957876"	"3.19735661917602"	"3.42181844145897"	"3.28011866419679"
"AC000032.1"	"6.67298412943405"	"6.78399643297938"	"7.85908316900766"	"7.84801029063591"	"7.09736707232438"	"7.21739558723413"	"7.44705053506214"
"AC000068.2"	"9.49472463163159"	"9.60573090780709"	"9.79175677443356"	"9.50553351481972"	"9.68855324688674"	"9.6253762267125"	"9.44393693002812"
"AC000120.1"	"8.19155904105613"	"7.68111926409368"	"7.24685050874035"	"7.59674848681266"	"7.85418163943575"	"7.26907088373262"	"7.70659455528233"
"AC000123.2"	"5.15945646868704"	"5.33052627456362"	"5.18865801050062"	"5.12998613837443"	"5.17589452200893"	"5.16680297980593"	"5.10962872670372"
"AC000123.3"	"5.05603611191243"	"5.18357077184448"	"5.29303616716606"	"5.62385074107558"	"5.4063102280005"	"5.10116591663209"	"5.25172381668404"
"AC002044.1"	"9.75491450966407"	"9.98963475252145"	"9.92034119031128"	"9.86113369562566"	"9.81208702966891"	"9.97843638913633"	"9.77402377919249"
"AC002059.1"	"5.59842228931314"	"5.97899788769203"	"5.60964333247732"	"5.91754493880507"	"5.6178919190811"	"5.72895257841942"	"6.02074480337172"
"AC002064.1"	"4.08125908471695"	"3.93596646692211"	"3.99351362936508"	"4.22289906108738"	"3.95210347324011"	"3.98083632830146"	"4.25671466936551"
"AC002070.1"	"4.39430328915379"	"4.86675698605771"	"4.52656422369963"	"4.5449340443941"	"4.60844240623917"	"4.45994388000755"	"4.70346266951235"
"AC002094.1"	"7.54226813094713"	"7.83843372457312"	"7.88544407382471"	"7.59325169725814"	"8.0031241172301"	"7.86356469441084"	"7.15860110133696"
"AC002094.2"	"8.47476645249673"	"8.24365972187238"	"8.52162448101934"	"8.49816533955002"	"8.49219789626455"	"8.47041766328239"	"8.318707302611"
"AC002116.1"	"5.43561035414845"	"5.60821591105598"	"5.50401770962924"	"5.34492053090477"	"5.45856902653151"	"5.69980704705834"	"5.19260610047994"
"AC002310.1"	"5.87971306216934"	"5.63763715741122"	"5.5930932511057"	"5.67803695751026"	"5.93961479786142"	"5.41156891730751"	"5.69435574386558"
"AC002310.2"	"4.64565726265429"	"4.65944054013774"	"4.47400407012465"	"4.42049207624684"	"4.28145517843343"	"4.82646958603366"	"4.55225041683917"
"AC002347.2"	"7.65958172996949"	"7.66889886220735"	"7.90185958560017"	"7.95471878875204"	"7.80065475258103"	"7.86059614652323"	"7.57118059188318"
"AC002398.1"	"5.81929829904052"	"5.87205812522548"	"5.97481731921686"	"6.02391649565778"	"6.08335700094755"	"5.81056739840958"	"5.81360298502578"
"AC002398.2"	"4.86517743710731"	"4.81178851038124"	"4.77657130333157"	"5.30365090892242"	"4.75185731662156"	"4.70364917790456"	"5.34434713345809"
"AC002463.1"	"3.22272758954208"	"3.24043344035242"	"3.15359926726067"	"2.95588101275384"	"3.18616344555756"	"3.13031004987056"	"3.12798408713836"
"AC002464.1"	"3.73170234238395"	"3.60325282587625"	"3.71518436591336"	"3.8353379745624"	"3.6501023561729"	"3.65273284580104"	"3.85587845793641"
"AC002467.1"	"6.17235323919894"	"6.27252757519813"	"6.28704369186026"	"5.88740953066864"	"6.30967770946479"	"6.2954705373845"	"5.79266786212928"
"AC002470.2"	"5.63007093810518"	"5.73590884341279"	"5.71613993961006"	"6.01639321196798"	"5.74483367749564"	"6.00175721563911"	"5.5340998196355"
"AC002480.1"	"4.30833100500638"	"4.36264798927881"	"4.34562653233163"	"4.24935726975159"	"4.04188470344989"	"4.37975444834932"	"4.52763017437687"
"AC002525.1"	"4.32527407249149"	"4.14409096112366"	"4.20006041822573"	"4.40416724244331"	"4.28466384506682"	"4.25313546951172"	"4.28544673502206"
"AC002550.1"	"5.51930210000579"	"5.85838952261376"	"5.84771046907674"	"5.39308447793861"	"5.85066288803601"	"5.61726434949307"	"5.45203101898997"
"AC002553.1"	"5.8625295135532"	"6.1536738130934"	"5.93174420446791"	"5.95216807512365"	"5.7785131361611"	"6.04224675122116"	"6.0770248435666"
"AC003102.1"	"5.15652443136752"	"4.89454187285154"	"5.03471310768271"	"5.19289586180494"	"4.8561899178888"	"5.13733323549212"	"5.22094833985681"
"AC003681.1"	"5.91745735508811"	"6.2123444527831"	"6.03853532788361"	"6.09363844346416"	"6.17530670424086"	"5.98158643221224"	"6.04956902542437"
"AC003682.1"	"3.025959222349"	"3.3778776495325"	"3.2101907949372"	"2.98542627766658"	"3.18934551250989"	"3.12976445363706"	"3.11900310122513"
"AC003958.2"	"3.50770022183631"	"3.67114889887005"	"3.782130092618"	"3.61353047605498"	"3.48263273114564"	"3.77444960277574"	"3.70131197216529"
"AC003973.1"	"3.9223473288495"	"3.84491271108868"	"3.57283818266367"	"3.78661042364886"	"3.84374417393439"	"3.90551964238899"	"3.64222981164741"
"AC003986.1"	"5.46666612148221"	"5.38209241864875"	"5.39320513037863"	"5.41963779245217"	"5.404726601121"	"5.40999590072894"	"5.48471404273675"
"AC003991.1"	"4.5448685046168"	"4.20915471317289"	"4.49365260026855"	"4.47910512599152"	"4.16651520248119"	"4.12259352393038"	"4.97933125732012"
"AC004009.2"	"3.79645708495377"	"3.6463384779397"	"3.62415709091947"	"3.8751754599335"	"3.63548814241235"	"3.7560096995272"	"3.80951360069355"
"AC004009.3"	"3.63068960270276"	"3.29984040849895"	"3.24001664967092"	"3.15331036547962"	"3.26161108765375"	"3.4119561861833"	"3.33184929989752"
"AC004023.1"	"3.59312733570461"	"3.58550898903462"	"3.49966170064016"	"3.49749474480992"	"3.51754990045493"	"3.445233269474"	"3.70227820995013"
"AC004039.1"	"3.97299200616232"	"4.10985169237575"	"3.91166306198879"	"4.0292210761875"	"3.86925872289949"	"4.20163546686195"	"3.95343427139737"
"AC004069.1"	"11.7063747610207"	"11.6929959164015"	"11.5990188804356"	"11.5988741351256"	"11.7151771318698"	"11.5740368059316"	"11.6090605300732"
"AC004076.2"	"5.48545609939158"	"5.65572542781288"	"5.2649481756479"	"5.20133341650553"	"5.37681214555731"	"5.19326663733079"	"5.57386549141346"
"AC004080.1"	"5.00106915700835"	"5.06536775869993"	"4.80184111612039"	"5.14566316788814"	"4.83379150745431"	"5.06757847680835"	"5.1966694139093"
"AC004080.2"	"5.83709669655519"	"5.85411450427935"	"5.68635510670253"	"6.07961034693156"	"5.75431089892215"	"6.0615590258615"	"5.80183441259496"
"AC004080.6"	"5.56503657296834"	"6.00591709163999"	"5.63727253841119"	"5.76008845076984"	"5.64659220874061"	"5.80565865934356"	"5.78660758032073"
"AC004130.2"	"5.22782579082999"	"5.47434545177428"	"5.29982643007323"	"5.475577872885"	"5.51469231680557"	"5.16769205875094"	"5.4855792300032"
"AC004148.1"	"8.22868696157292"	"8.22820951226882"	"8.01495995863113"	"8.11569428793447"	"8.30094055934743"	"7.85707606009829"	"8.15413916046119"
"AC004156.1"	"6.3822500434948"	"6.26081772848578"	"6.48759763610705"	"6.33967944863211"	"6.21234638039795"	"6.25805446267283"	"6.63441253829755"
"AC004158.1"	"3.21688762757424"	"3.31075660346792"	"3.38452763635714"	"3.27828680986827"	"3.37635901760024"	"3.27246836741381"	"3.25371528964433"
"AC004160.1"	"4.08515500366638"	"3.98852430550312"	"4.39213100538464"	"4.38144386684205"	"4.22022622965827"	"4.19911904255667"	"4.20238794546091"
"AC004221.1"	"9.43659317843728"	"9.19016126569644"	"9.19653983297786"	"9.06085922282407"	"9.46292451944763"	"8.76438479784586"	"9.19447772157357"
"AC004231.3"	"3.74737760386597"	"3.6613889717928"	"3.72888632032235"	"3.65118126822346"	"3.70395425749563"	"3.6250402476363"	"3.83100028351145"
"AC004232.2"	"6.32243363613154"	"6.25757845068476"	"5.70905559320492"	"5.96297497764916"	"5.9315591172563"	"6.01651471559173"	"6.22931981284178"
"AC004233.2"	"6.35979215551794"	"6.58220316666943"	"6.56380639806328"	"6.48301613132688"	"6.16156482791015"	"6.21357749935118"	"7.03896271356427"
"AC004241.1"	"6.30371569456963"	"6.46886462796298"	"5.8636216738398"	"6.38961994131774"	"6.19542642135772"	"6.29669337243393"	"6.25126415067"
"AC004241.4"	"4.34610150878231"	"4.23240273929327"	"4.3015600423317"	"4.31563439148069"	"4.05206958100973"	"4.36489306050905"	"4.47050064135597"
"AC004241.5"	"3.78163279443446"	"3.88716917384486"	"3.82478410357903"	"4.12642689084433"	"3.68515500547471"	"3.8821287928591"	"4.17060103271906"
"AC004264.1"	"6.05151770544423"	"5.71817062648503"	"5.85007230862742"	"5.84204350444307"	"5.84244788118359"	"5.93293261662669"	"5.79129689948438"
"AC004408.1"	"4.73035112094196"	"4.96195645733609"	"4.73750833760263"	"4.84870725996773"	"4.82049247793311"	"4.63750470034094"	"4.99826687381888"
"AC004408.2"	"5.97367684797413"	"6.04725637497408"	"5.88300033845607"	"5.93457149198793"	"5.81841090767992"	"6.08895080784078"	"5.99348765551406"
"AC004461.2"	"4.79945960637409"	"4.9786329115859"	"4.82258107560276"	"5.05956536839222"	"4.83012548424285"	"4.83441015555015"	"5.12315384220834"
"AC004477.1"	"7.7914464758983"	"8.11616321514697"	"8.19925462543357"	"8.02555127658506"	"7.8512221203519"	"8.04901810999285"	"8.10281997266085"
"AC004490.1"	"4.64461431061863"	"4.76632023973532"	"4.42953453568751"	"4.34650001253508"	"4.73198971565677"	"4.46883704794376"	"4.36588827735248"
"AC004510.2"	"5.04761548381364"	"5.10156864744511"	"5.09568645189068"	"5.31165821806881"	"4.98893283039051"	"5.1956051421508"	"5.27828004293367"
