"ID_REF"	"GSM926937"	"GSM926938"	"GSM926939"	"GSM926940"	"GSM926941"	"GSM926942"	"GSM926943"	"GSM926944"
"A1BG-AS1"	6.80445230199754	6.58186858486233	6.96703676826211	6.51213027333822	6.78179129240256	6.81933456546787	6.58038223037149	7.35501680461903
"A2M-AS1"	4.19680068636907	5.58173351431678	4.30325994460395	4.38259606865747	4.37337334394938	3.77756036206187	3.94605202501472	5.55960555258003
"AA06"	3.8050269699884	3.40677830033066	4.11273078521501	4.02569079535361	3.58684439807408	3.95127233484126	3.6919128308766	3.90576150476964
"AATBC"	5.31073071282096	4.59126947736761	5.64342758496247	5.93092759766572	5.94405351824185	5.67671563382958	6.10857766217142	5.54924097350612
"ABALON"	4.8763175848908	4.89575666164857	5.06935771521579	5.16619740700263	4.64869824926826	5.06407427570911	4.60487026278975	5.08108498861047
"ABCA9-AS1"	3.14505095758524	3.12941584909995	3.5412888716215	3.56091697095269	3.091209650155	4.02345184825166	3.19538911859598	2.43433799512269
"AC000032.1"	6.77163212328311	7.13866262766314	6.8728050152692	7.31689731271007	7.27991197860039	6.987677015291	7.05699322773262	8.22083984182205
"AC000068.2"	9.35001313803481	9.10284133208983	9.30176560186398	8.85339806694279	9.55813603602314	9.30930578944704	9.30394080079922	9.06750956585942
"AC000120.1"	5.22976767952734	5.81144535702908	4.97908692644796	5.2996008617864	5.73992575781591	5.13206292629185	5.38853141336134	5.60968383033778
"AC000123.2"	5.85296894786427	5.76810037173575	5.75852975699087	5.86337116558964	5.58899861795759	6.21923958588271	4.94106162434968	5.55601844334992
"AC000123.3"	7.0440343920129	7.51961017582114	7.7335187289074	7.61110801282381	7.22895811891395	7.72553070043341	7.18075439001578	7.26575230640159
"AC002044.1"	8.52494057346878	8.60096689706911	7.73986857571244	7.76386595388913	8.33507813954771	8.32811136713807	8.74927566329037	7.96179294776256
"AC002059.1"	3.95666694024065	4.23710997063832	4.3776608535071	4.81400680310817	4.60039497816276	3.82813301935248	3.91617417086718	4.10425551892197
"AC002064.1"	2.25916544749117	2.30893963537855	2.35109597519508	2.87116605209867	2.51004649078622	2.06474595890837	2.76644255535071	2.69836772516552
"AC002070.1"	3.32797855994486	3.40443627335366	3.52825861777854	3.82003055378977	3.58269378001206	3.01827626491353	3.49056871131365	3.48627903286917
"AC002094.1"	6.00771157188304	5.9103378527918	5.42413900600336	5.56233385504081	5.81748294909491	5.82789732587131	5.95780730959081	4.77385399117739
"AC002094.2"	6.29949997381813	6.1159478029493	5.75746507577776	6.00139187964226	6.44763599769663	6.36172975165992	5.65302424589177	5.20533934068152
"AC002116.1"	6.12169407136841	6.9329610533633	6.31886751165857	6.54374360521786	6.59009564155573	6.2569922292435	6.72858523261198	6.32957253683031
"AC002310.1"	5.94561384916568	5.55563432342795	5.18814924121013	5.35860701406593	5.6974213759661	5.55148926827233	5.41896729805014	5.83779090291744
"AC002310.2"	3.60588068337911	3.90800540639625	3.87891619458554	3.82963733650849	4.40188329012105	4.21817398153951	3.7739007470826	3.89371304033733
"AC002347.2"	6.51599677194854	5.97832419542887	6.22373125390927	5.72679180733799	5.70377921323649	6.71571776184545	6.01790145069022	6.4672301399684
"AC002398.1"	6.09466794497965	5.58961142548774	6.16412617772549	5.89759643552978	6.24599807202427	5.81314263131108	5.87409791213207	5.84062023297337
"AC002398.2"	2.58212707890578	2.68229993749079	2.70688558664162	2.88223072895399	2.78935095886582	2.72880153949686	2.68362456846675	3.06753137051989
"AC002463.1"	1.58883737780113	1.42247334713575	1.31181597715439	1.62435118379715	1.3463160313991	1.28666029689538	1.23736103751258	1.30543037394828
"AC002464.1"	1.05641825993234	1.46744523019519	1.05641825993234	1.24531033439302	1.45983462951686	1.61083331857898	1.35422801787532	1.72625147870763
"AC002467.1"	4.67884470293477	5.26586669947399	5.56436493521968	4.42420457970454	5.69667160327114	6.53291264590759	5.24876723404047	4.9455101125741
"AC002470.2"	3.79752418283755	3.82240645561425	3.82475896567767	3.71870963409263	3.55845967822009	3.92649564524254	4.35506684244153	3.91855614134663
"AC002480.1"	3.44813932085573	3.43545670990767	3.67976638651322	4.05219762327664	3.90846832358677	2.98970673212856	3.55096964973148	3.28973697073154
"AC002525.1"	2.64556529512443	2.27549189359516	2.43225995025893	1.85301973936704	2.40746889256817	2.74503465941761	2.35273913323283	2.25167587186773
"AC002550.1"	6.6684701477399	6.42938806998396	6.09320115000396	5.70747392280603	5.33722484134793	5.03767191979879	4.75322020948168	5.06720615599972
"AC002553.1"	4.12356041768381	4.50600607932559	4.41115167845329	4.30560805417234	4.12470612968643	4.85659006807725	4.74532336468206	5.33982606211495
"AC003102.1"	5.71474912064004	6.4492710028828	5.83848551176174	6.33256924815901	6.76367421623334	6.15120820615808	6.00417479692678	6.64302160845554
"AC003681.1"	5.78355934329867	5.20919744850127	6.56831660823371	5.83598350250155	5.2868856672111	4.92210800299386	5.36481465982687	4.53821174252108
"AC003682.1"	1.35653236068443	2.23323417482795	1.51398907497179	1.48436049635307	1.67517766061657	2.04128657606623	1.95517781689751	1.46567167656333
"AC003958.2"	2.74882781670014	2.74354991254801	2.83060711079354	3.10809174799176	3.05649138267332	2.92624465445528	3.46755676412387	3.65608904754123
"AC003973.1"	2.3545337269109	2.10466846425699	2.34391472522334	2.55357106496058	3.26263913377214	2.37443030742474	1.99268810154367	1.96958986096005
"AC003986.1"	3.79185913980248	3.76738446536922	4.26855171743806	4.20288216102976	4.1447769976062	3.93503061265939	3.89546561105748	4.32760344500444
"AC003991.1"	3.31043928400132	2.50198542044362	2.18348386362211	3.26163719884966	4.63379966337468	2.61848614764592	3.47428858833789	2.31466543813996
"AC004009.2"	2.12382819428307	2.50244328367825	2.06405862359274	2.30529260821565	2.09989065767511	2.54065043739358	2.17876882314502	1.83853480784337
"AC004009.3"	2.15921359101721	2.71324816342709	2.42356109326713	2.69799013412447	2.08925389446888	2.19996519487731	1.79312237449718	2.23777311393776
"AC004023.1"	1.62411503243843	1.4810778973218	1.79513745465556	1.85623261233627	1.73459456975474	2.21543826659478	2.1743990977803	2.15920654358803
"AC004039.1"	4.51902663636796	4.37562587900536	5.07673287772703	5.5974711178204	4.27645888427144	4.67972137523664	4.92099153201585	4.76307873481831
"AC004069.1"	11.6605418898377	11.5964768004578	11.479238741495	11.618894442444	11.5748749616894	11.5959598100612	11.6996653545625	11.6118664964697
"AC004076.2"	4.17080868124067	3.8995084336644	3.98732383002702	3.96945741669056	3.58292514759283	3.78378669911357	4.06932417764163	3.84264331744668
"AC004080.1"	4.65302609860999	4.80020144069548	5.34981259759574	5.32740182288651	4.59336791725024	4.66297144051872	4.90306316369224	4.87231105392372
"AC004080.2"	4.42880561294311	4.80525904548565	4.9296083377827	5.05670107146251	4.5258769005205	4.77214752563038	4.51443002883241	4.79217552260562
"AC004080.6"	4.61519238947668	4.17274647563335	4.83842142917898	4.58050193230712	5.2739997329862	4.74936184895049	5.13558683475992	5.31606107470768
"AC004130.2"	4.01408733584394	3.93817090774829	4.43346808084759	4.52455179204546	4.00303741844475	4.5757565544617	4.30700292051288	4.28041460936939
"AC004148.1"	7.09790378540004	7.19056040328203	7.29879331459659	7.35866695550178	7.46522149678433	7.32017768638405	7.12881416835194	7.36877134126082
"AC004156.1"	6.77086446296224	6.58130081809357	6.33205021403458	6.70990644542893	6.74078441103947	5.93892139197233	6.10143454509757	6.29924253552424
"AC004158.1"	2.98368568445921	2.12073592303831	2.13257485053137	1.98859372451357	2.69136092005438	2.26543282374048	2.25834727296413	1.86521682984192
"AC004160.1"	1.69420978850539	1.84591516898699	1.50901348048569	1.94055435656351	2.51117829694105	1.78910713087005	1.75736420537329	2.13781597911024
"AC004221.1"	5.83257311039697	6.19095439021556	5.81723016801851	5.98784702455207	5.82836027441525	5.82833212469647	5.54653067854226	5.71179361794018
"AC004231.3"	2.15689290211218	1.87649877472843	1.8652818817295	2.14159121406098	2.61575521929829	1.81098770643421	1.81538760071593	1.86754883932918
"AC004232.2"	5.19603260142086	5.46343959042279	4.85172892526321	5.27286430048385	5.23591267568935	5.6320095152718	5.34353520808803	5.9224746401026
"AC004233.2"	2.45656718352684	2.82282990333447	3.26110461240096	3.35977815249989	3.37515048438651	3.00764897331124	3.31640485500976	2.66396986232703
"AC004241.1"	3.29284039429999	3.33110607894327	3.88961727274271	3.90937050970249	3.8488968303734	3.42608581842235	3.66420597592805	3.84439356673742
"AC004241.4"	2.54836802115388	2.27888520296119	2.10265255001774	2.13316452676427	1.84841462079826	1.9369560627815	1.77514612827427	1.80449787528902
"AC004241.5"	3.33679982049964	2.98296476988445	4.38433661210846	3.54723731212138	3.85729164604388	3.57179436572644	2.9639891551066	3.02133551258532
"AC004264.1"	2.73700202166048	2.82602964052209	2.96551858390027	2.58164895526098	2.95009791814133	2.81637910805458	3.04696766562994	3.48789287609314
"AC004408.1"	3.54321168216765	3.90182614301862	3.65658360211804	4.17727825852063	3.27208883955912	4.19872338264985	3.66431373888132	3.64034849527098
"AC004408.2"	3.60799866331997	3.31291229891264	3.73325829557949	3.79063170339367	3.99181350575136	3.4176761745024	3.94862223536917	3.96995688201717
"AC004461.2"	3.33387877770605	3.71715969549863	4.06884950396446	4.08569726813036	3.54724397261222	3.89998944802899	3.3842475700562	3.40046312748412
"AC004477.1"	7.27870977708209	7.37743839868407	7.29351899795524	6.49976792401853	7.18217455264379	7.18644214324191	7.23999900166364	6.94575837508463
"AC004490.1"	3.85242824768066	4.21082538680203	4.39140946519323	4.36315029250039	4.58300130581395	4.57641870149166	4.5198910187497	4.3696073815934
"AC004510.2"	2.85131084035184	2.11831944534563	2.96073169698865	2.82334285331286	2.55401705341377	3.0726270391313	2.76644255535071	3.07281426640244
"AC004522.3"	3.73754920414281	3.86036120188668	4.21692854473759	4.44674695510371	4.0106209812378	4.11315523043859	4.29495658835583	4.19784754286324
"AC004528.1"	2.46894585754657	2.41788987414841	2.98486443588982	3.17023746670792	2.34327640188244	2.33843070705636	3.01477195931663	3.05198143727039
"AC004540.1"	3.53764027937084	3.76342781491544	4.10079271179304	3.99886096678521	3.71676435910675	3.99137276727557	3.82692715172796	3.92276821329897
"AC004542.1"	8.27605054498356	7.94836789141106	8.37088567182795	7.90200834235229	8.66713649133195	8.22170628967575	8.15568519953537	8.42269158601955
"AC004543.1"	9.19543431650626	9.66270321845871	9.13235064218522	9.27564557362376	8.78659878672625	8.64196702446357	9.42015162215862	9.1761147960872
"AC004590.1"	2.21861038170297	2.6255754093351	2.47881514704214	2.63328868015421	2.64147404796029	2.59909349845006	2.74135129116087	2.70385273682252
"AC004593.1"	2.98465109341385	3.28603768786514	3.50153687642041	3.5404865689685	3.07971368721576	3.6405755493564	4.12124389506308	3.29284039429999
"AC004623.1"	2.56624055990892	2.46181425795548	1.98276084354297	2.13376873267272	2.22265242603754	2.51072439408514	2.45433631561152	2.81324536233668
"AC004687.1"	9.3396618077742	9.54341570905703	9.41154304664392	9.76395733420435	9.33968385442903	9.36805349801967	9.58999373267289	9.86724503579178
"AC004690.2"	2.18110319137265	2.25644570052112	2.05185698112521	2.37640482609153	2.60957765836317	2.6152224660042	2.4804943015088	2.30549824093155
"AC004707.1"	3.64695128790737	3.39271567401759	3.59324186845727	3.49046086763471	3.22214064552286	3.73645774831828	3.20254815533203	2.86680368991889
"AC004771.3"	5.5256488737753	5.64578259459598	4.82361890190992	4.85933534306408	5.30696081819592	5.57144789465288	5.19020117743171	5.10513482757147
"AC004784.1"	2.18467196878483	1.98611386091384	1.966644912645	2.20153658446555	2.12740219856465	1.96905657122532	2.07666623099453	2.02441758053412
"AC004801.3"	2.5776694223982	3.159112573127	3.1837878249258	4.12702168088425	2.46624017742708	2.47115885344819	3.00278457896403	2.84097849616597
"AC004803.1"	4.70020271988103	4.68255432051904	4.84082738037037	5.11216077918916	4.73499886768064	4.95376955901813	5.19684208338637	5.51287460666558
"AC004812.2"	3.29625910866006	2.99883956310271	3.5321648161216	3.55999333880996	3.73910396362468	3.93809727458072	3.78148218086949	3.58115210490862
"AC004816.1"	3.05428648464321	3.01346351958264	2.81599292854893	3.2036441663491	2.57792907053054	3.15144533291697	3.22028075272619	3.08293535470458
"AC004817.1"	2.54245633688935	2.21369025874199	2.54304260665473	2.61398926523968	2.04418210166301	2.54856127770281	3.03582100962437	2.86346067832926
"AC004817.2"	2.80478917910844	3.32103865740776	3.31092048670226	3.41743089178947	2.809043568009	3.28725130521398	2.8544459031467	3.54973522514598
"AC004825.2"	5.19050934462735	5.07089420975013	5.01326232144587	5.81744401599656	5.18842445016917	5.75123580521592	5.23992260658073	5.11473619078824
"AC004830.2"	5.21197544362267	4.48502579371196	4.78220414427609	5.36995214085383	5.10881621268921	4.71568260717658	4.43299392531306	4.16008286576024
"AC004832.1"	3.61613219342187	3.29932788459009	3.84750467708581	4.08917515234247	3.89695702573389	3.66441887000225	3.95788488870346	3.80260206443703
"AC004835.1"	5.40557877728933	5.46451059858357	5.87609826608753	6.34187586881325	5.53766395043342	5.28890175286152	5.48415266015571	5.70505064172183
"AC004836.1"	2.39702046768321	2.5167947452236	2.50991636900198	2.41631482347953	2.83719789052408	2.99411308951409	2.85391171184497	3.56012417913349
"AC004839.2"	4.06475138465032	4.32577030120855	4.28967904132254	4.28448258043815	4.11423555974065	4.15750180233109	4.0538378117619	4.10858028690191
"AC004846.1"	7.91769937334544	7.68524991718382	8.27535014477339	7.51692039714321	8.01878300988873	7.97080399159059	7.29869905684756	8.04677857205519
"AC004846.2"	5.96570870742554	5.08551234585464	5.48147812526172	5.86103727337121	6.35307846499917	6.1173158919314	6.12541384842104	4.73471049809982
"AC004847.1"	4.54252146584656	4.90443459051824	4.27870288930211	4.22981400340517	4.52770606333739	4.56719928918929	4.50089343244006	4.46867174672195
"AC004852.2"	2.73700202166048	2.85292451536266	2.87600497581488	3.09890118380323	2.86858636525563	2.97312240195335	2.90740140812309	2.72815077871042
"AC004882.3"	7.93991556727773	7.6014313105214	7.42179363820513	7.06181282184172	6.97996873267368	7.77697401958558	7.49330556775947	7.4930882801686
"AC004900.1"	4.59598164374479	4.61754128769726	4.47844394814046	4.39766765326132	3.6069676168042	4.52158974160536	4.52137116694216	4.0644925262809
"AC004908.1"	5.52670700236671	5.16222888756841	5.75312225266902	5.44624124158507	4.28716830183821	4.94507309492115	6.008943521418	5.36467789026145
"AC004917.1"	3.14691539141905	3.56752971188955	4.0451968939696	3.88329496120721	3.86828039743192	3.840383039889	3.71871098361942	3.16760505509077
"AC004918.1"	6.33793498781144	6.51681173791965	6.10981734067395	6.29418575304695	5.67315536756916	5.62930087578578	6.12323431525225	6.95237382037004
"AC004918.3"	6.63171418573149	6.31886732880426	7.11922829024579	7.30597581461392	6.49751940893384	6.41668531877206	5.37512293770323	6.37770097773976
"AC004938.2"	3.89131051566207	4.73733470859719	4.43421934486472	4.09131396177391	4.76852856387973	5.83939949876546	4.75548537245288	5.6525336660175
"AC004943.2"	3.85175198861706	4.11182785407736	4.16758628685091	4.05315974975674	3.75732517962131	4.29914258509035	4.23062647477029	4.05849452308104
"AC004944.1"	2.49766971958081	2.38314842289028	2.24355926015149	2.26872926439003	2.04039945237838	1.8961251549221	2.4523443280202	3.29284039429999
"AC004947.1"	3.87275479136371	3.82808713327251	3.91355344464856	4.05018949684205	3.64651694700282	3.59839110702886	3.87526314026765	3.90816656085993
"AC004948.1"	1.65251105715724	3.29028118859521	1.91344449237748	2.99250112184553	1.88764268636472	2.14568462530994	2.76644255535071	1.81053499281969
"AC004951.1"	7.47879921155327	7.66220087332483	7.16832637118514	7.4183006608551	7.93227515001379	8.30905309241009	7.30014246262434	8.36038361237473
"AC004967.2"	6.87926880719167	6.92627334392541	6.71406803523607	6.42665964839517	7.51592516186264	7.78114078437977	6.98169110757665	6.73251190660582
"AC004972.1"	1.62673118306086	2.63131573835391	1.90446332610669	1.83768210503216	2.1053676007162	1.87537735110565	1.8131597594245	1.68104712370639
"AC004982.1"	1.33737610352147	2.63444871301229	1.56222091431877	1.6552487756779	1.46106451601037	1.30964572602182	1.75557600517669	2.04879577905864
"AC005005.3"	3.0201479563205	2.59401403325965	3.23740139757956	3.10376132997005	3.13733951328176	3.02351113533703	3.19344266983612	3.05295432086836
"AC005009.1"	3.10369299779362	2.90310419104037	2.60610824723265	2.47496021980557	4.46622299205271	3.6465986745793	2.64865814828921	3.52573170873616
