"ID_REF"	"GSM349848"	"GSM349849"	"GSM674836"	"GSM674837"	"GSM674839"	"GSM674840"	"GSM674842"	"GSM674843"	"GSM674845"	"GSM674846"
"A1BG-AS1"	"4.2929616335864"	"4.60590865004479"	"4.4901967624904"	"4.33514891255224"	"4.59702526365359"	"4.67812853955574"	"4.27301477514037"	"4.24469075806902"	"4.40929437386356"	"4.3328181060534"
"A2M-AS1"	"4.88292000356911"	"4.87958888538937"	"5.50849526231344"	"5.03284434813519"	"4.68002438814068"	"4.51425682906223"	"5.40206103451419"	"4.81400649585709"	"4.64353820351824"	"4.31182474818522"
"AA06"	"4.70361508608597"	"5.07407419553114"	"4.90027197301269"	"4.90027197301269"	"4.75029394094908"	"4.99973436933836"	"4.87703976145318"	"4.71424890883549"	"4.75735629432525"	"4.91629974152029"
"AATBC"	"3.5072776677976"	"3.43783067282474"	"3.32554753379683"	"3.5691207447624"	"3.49068809308773"	"3.59037751463151"	"3.50804512431399"	"3.40445573299796"	"3.36303619071577"	"3.33728800326683"
"ABALON"	"6.10093701280078"	"6.27188683344442"	"6.03707563949946"	"6.08351335580776"	"5.95528643900077"	"6.15002947805261"	"6.08047302741282"	"6.10395605190041"	"6.2935068329312"	"6.09020590477785"
"ABCA9-AS1"	"2.5070233745049"	"2.59046032863332"	"2.56541105549108"	"2.62096696953069"	"2.53134034603643"	"2.51594533089932"	"2.50852563059486"	"2.41632995381029"	"2.52100134445232"	"2.67097708220552"
"AC000032.1"	"7.34071598763478"	"7.46814427981802"	"6.99955658887953"	"7.05826147430887"	"7.06771841567722"	"8.23918471607755"	"6.92404590399697"	"6.79077152306327"	"7.207915315647"	"7.92430591255794"
"AC000068.2"	"10.245219189622"	"10.48278445302"	"9.73754777691672"	"10.3001372795968"	"10.2497154684884"	"11.035626129012"	"9.95360421259962"	"10.3206300856274"	"9.99454326246576"	"10.7123614731597"
"AC000120.1"	"8.32514293513719"	"7.50984640430864"	"7.91487069084167"	"7.6748310504762"	"8.40243561001848"	"7.22504476036011"	"8.28341505332094"	"8.21678693862052"	"8.10798040284064"	"7.36480632578309"
"AC000123.2"	"4.0081199731149"	"4.49734341926189"	"4.4389024380762"	"4.03084119171728"	"4.80192132162992"	"4.00911466176605"	"4.64006426959507"	"3.80709083927729"	"4.61855209816502"	"3.90008726732094"
"AC000123.3"	"5.09459640816326"	"4.81908535246305"	"4.83504031702413"	"4.61795612825109"	"5.39476913938814"	"4.38918994746625"	"5.19620938825069"	"4.83317598803838"	"5.34896088867151"	"4.93434331753977"
"AC002044.1"	"9.71685411559157"	"9.25506542291505"	"8.86952751221211"	"9.47786627956394"	"8.85260090865683"	"9.70728393512326"	"9.03360577062157"	"9.7573946098943"	"9.18168194648312"	"9.73639455154966"
"AC002059.1"	"4.71742826292268"	"4.65104465745079"	"4.62513321065364"	"4.813266644334"	"4.5399229804407"	"4.52591770918576"	"4.77625392916465"	"4.46513491355569"	"4.92702757587679"	"4.66978944290017"
"AC002064.1"	"3.90646933853212"	"3.77469697893523"	"4.09114233555308"	"3.898341557205"	"3.85672372032991"	"3.89980638076678"	"3.83096606491346"	"3.70502054882238"	"3.96571704949654"	"3.78684570784545"
"AC002070.1"	"4.04432135112959"	"3.64369249253079"	"3.9377671324886"	"3.76805688310718"	"3.9540424331345"	"4.12212336542571"	"3.91709838246915"	"3.51795885009098"	"3.80080221849092"	"3.67680359942744"
"AC002094.1"	"7.64241884424843"	"7.49795446431161"	"7.2585527377018"	"7.77692718035445"	"7.25154248768012"	"8.10503788286825"	"7.28296418996868"	"7.16078959867903"	"7.2349624844873"	"7.78419634798573"
"AC002094.2"	"8.3531641914172"	"8.41409206771819"	"8.5423337468919"	"8.26404576751676"	"8.49270964137178"	"8.82082548533507"	"8.16410079209725"	"8.03152080955461"	"8.21902926109307"	"8.47786102019742"
"AC002116.1"	"7.82216986175937"	"8.18327636248011"	"7.8834198148358"	"7.94660029058698"	"7.9661164822929"	"8.28354740003136"	"7.68399486293347"	"8.07707726151025"	"7.57997464701621"	"7.9977424861215"
"AC002310.1"	"4.18319957425157"	"4.44128405257321"	"4.39456997842914"	"4.39542657286368"	"4.1117592177502"	"4.49054471592988"	"4.39995521368137"	"4.06632218511591"	"3.83886225782979"	"4.27174744666216"
"AC002310.2"	"4.09799702288579"	"4.15896867981721"	"4.14969960292994"	"4.30033241591797"	"4.16367675364501"	"4.40446782678792"	"4.01607440596461"	"3.96317702547598"	"3.99558458321116"	"4.03579896057945"
"AC002347.2"	"7.06426292665794"	"7.65422595122226"	"7.02159666667989"	"7.44196833250429"	"6.82004978162073"	"7.64785631015119"	"6.84218858430258"	"7.61233242175916"	"6.79178884461292"	"7.67374274771821"
"AC002398.1"	"6.18748773739165"	"5.89475959521578"	"5.85534308323784"	"6.12568613852492"	"5.84226592606934"	"6.05436863102595"	"5.94176368508566"	"5.95623319371464"	"6.00012631075946"	"6.29767080142701"
"AC002398.2"	"5.13626356162213"	"4.8605635736244"	"4.96562366164903"	"5.11656260159404"	"5.02588870257043"	"5.00248871464755"	"5.10072064629325"	"4.77916610703534"	"5.01906791877703"	"5.12733663797028"
"AC002463.1"	"2.43067515476591"	"2.63559747840552"	"2.51581706699553"	"2.55118237509932"	"2.60401389930601"	"2.69540419957129"	"2.42627717107973"	"2.45934623984227"	"2.42789607448107"	"2.43629607175344"
"AC002464.1"	"3.13941629534132"	"3.37938206581877"	"3.18867733986082"	"3.23206963343002"	"3.19725845067595"	"3.09942285200548"	"3.37269719615385"	"3.3302568716912"	"3.35720742359456"	"3.30958451908546"
