symbol,PVal,HR,BB3,BB4,P_adj
ACAP1,0.00179913676716175,0.529315805420229,0.355009032229352,0.789205897405619,0.029128584069341
AQP3,0.0175533569670292,0.882683172179656,0.796303566012777,0.978432868699018,0.0692797386677429
CCL17,0.00445858432546075,0.634896009558595,0.46421772060251,0.868327349568325,0.0393841615415699
CCR5,0.014983081835163,0.720316604844155,0.553016189311501,0.938229334407336,0.0653967454217114
CCR7,0.000437909608628692,0.570093041073152,0.41677751229158,0.779807129451501,0.0252376684916447
CD1C,0.0163286341449484,0.651771299500444,0.459589119598537,0.924316544359397,0.0668119333982463
CD2,0.00180581518489176,0.739763688159029,0.612166634649489,0.893956454572195,0.029128584069341
CD28,0.0249807020801381,0.424466350104989,0.200659257182837,0.897898681082436,0.0882651473498211
CD3E,0.00101627391561226,0.705593549716251,0.573090432830376,0.868732452821346,0.0252376684916447
CD3G,0.00429720454997652,0.554931235704346,0.370414686148192,0.831361951553807,0.0393841615415699
CD48,0.0051860407336917,0.697053803826702,0.541212844678468,0.897768798739314,0.0408217682865712
CD52,0.00108558011022626,0.732660287380143,0.607942875412491,0.882963051980399,0.0252376684916447
CD6,0.000134057571775998,0.480992711487516,0.330371463592141,0.70028441920677,0.0165784530429651
CENPC,0.0290480846987067,0.584703434404304,0.361133171914488,0.946681536873995,0.0974635069375842
CLEC12A,0.0316411813145424,0.533145739531627,0.3004068754251,0.946197982913993,0.103883878475179
CLNK,0.00539155430199998,0.0691692325953976,0.0105391661550379,0.453962170009929,0.0408217682865712
CTLA4,0.00941737000787527,0.662746156713217,0.485839061997083,0.904069891853977,0.0521469294465929
CTSW,0.030794190176759,0.810640080049994,0.670021694606412,0.980770241729978,0.102005754960514
DNASE2,0.00284635591525364,0.526213746174552,0.345148675766516,0.802265591916605,0.0373802554192873
DOK2,0.0165679187941743,0.721651935125199,0.552643986774875,0.942345394019623,0.0668119333982463
EOMES,0.0273411050157106,0.574912039246281,0.351620260981974,0.940002296645989,0.0939217588965613
FCRL2,0.0121862048761413,0.130900330850607,0.0266985123568543,0.641792186312561,0.0572288861904865
FCRL3,0.0113369677944088,0.289071758785551,0.110612678171804,0.755451211456815,0.0560814850903747
GPR18,0.0167864470779599,0.420585406147836,0.206806050280556,0.855352556777549,0.0669652888808936
GZMA,0.0343625337060721,0.841669035134328,0.717457243598888,0.987385340414799,0.110856521782198
HLA-DPB1,0.00804274116706095,0.810868617601832,0.694410564312354,0.946857592327399,0.0466227652028064
HLA-DRB1,0.0429612003303638,0.872882527719585,0.765212612258041,0.995702233592042,0.12712735206162
ICAM3,0.0415582990514004,0.522696704045674,0.280076554741724,0.975489878730322,0.125350641854224
IFNG,0.0162983030727788,0.648339763105677,0.45524960595312,0.923327429452429,0.0668119333982463
KLHDC7B,0.0482216726841962,0.899657101850868,0.810052369641338,0.999173548827551,0.136566721876617
KLRK1,0.00335606498177473,0.175402947157021,0.0548129870879484,0.561293874059515,0.0389093783824508
MS4A1,0.0341642897617278,0.627169813815696,0.407286304645062,0.965762832866186,0.110856521782198
NDUFS3,0.0118511714717033,0.499005424497955,0.290389037079883,0.857492473484409,0.0563690335384861
PRF1,0.0380228411869974,0.817773666210212,0.676229640311695,0.988944774497967,0.119493951008478
PTPN12,1.16807644747253e-05,2.9658020233929,1.82404147991177,4.82224869271444,0.00433356362012309
PYHIN1,0.00493318592192314,0.426005368389654,0.234995201890097,0.772273529149246,0.0408217682865712
RHOH,0.00479971141320045,0.456515707325022,0.264718693838697,0.787275685038908,0.0408217682865712
S1PR4,0.000492821573844355,0.540593725085303,0.382491348650099,0.764047544167972,0.0252376684916447
SEPTIN1,0.00108841696999007,0.550342495236878,0.384603527156219,0.787504119639885,0.0252376684916447
SH2D1A,0.00516792637465837,0.575361418468677,0.390557118978192,0.84761164443343,0.0408217682865712
SIT1,0.00672382830128916,0.660194528968549,0.488948585120791,0.891416458383512,0.0437638649083908
SLA2,0.00164552027034489,0.572597440853073,0.404642333056131,0.810265764323793,0.0290708581094265
SLAMF6,0.0027519125906095,0.588749305211353,0.416225265403002,0.832784007119889,0.0373802554192873
SLAMF8,0.0403377613964188,0.78464477352151,0.622279592125365,0.989374275495425,0.124710912317261
STAP1,0.0104053363868347,0.373158931767058,0.17554748454639,0.793218932856508,0.055148282850224
SUCLG1,0.007839014140741,0.431646614541291,0.232365634521601,0.801834575188173,0.0466227652028064
TARP,0.00573977421349694,0.192632759600385,0.0598707955929653,0.619790996657802,0.0410294317149627
TESPA1,0.00727529829926743,0.352852572905321,0.164901466105316,0.755026265966542,0.0443023487367075
TIFAB,0.0244321992371393,0.164226067837828,0.0340484767336438,0.792111834207996,0.0882651473498211
TIGIT,0.00161818703137871,0.558532899985631,0.388857063235598,0.8022459403736,0.0290708581094265
TNFRSF13B,0.0247931297763778,0.315624060657391,0.115306068544901,0.863948870367289,0.0882651473498211
TRAT1,0.0115603914747095,0.441095136511031,0.233690601068308,0.832574859939762,0.0560814850903747
UBASH3A,0.00383024633452194,0.469232933229515,0.280975091858091,0.783626563376579,0.0393841615415699
VGLL3,0.00407252277723896,1.52772862359498,1.14410882097614,2.03997618457318,0.0393841615415699
ZNF831,0.011595586032334,0.119867031592135,0.02308572637996,0.62238047121543,0.0560814850903747
