symbol,PVal,HR,BB3,BB4,P_adj
ACAP1,0.000204666571917293,0.656499787136614,0.525731368863589,0.819795043697019,0.00397406452690885
APOBEC3H,0.0148622697245939,0.713743335420276,0.544115211281335,0.936253091798716,0.058809841490866
ARHGAP30,0.00470100106068588,0.804115605091966,0.691308487489298,0.935330490011419,0.0221131109873051
CCR8,0.00358981054143544,0.692183741166107,0.540361782748973,0.886662134204419,0.0183479205451145
CD28,0.000502392741613673,0.599694363662481,0.449613718238267,0.799871790428699,0.0063751906522011
CD8B,0.023382838145539,0.826051019271322,0.700257749124712,0.974441607096967,0.0827392734380611
CD96,0.00102854629377625,0.707157078175639,0.574996668300361,0.869693966561707,0.00880244270022465
CLEC10A,0.0452978254108618,0.855218465355618,0.733797577330856,0.996730768920819,0.136925538079659
CLNK,0.000417926167845725,0.0758911210662652,0.0181206575980019,0.317839583113672,0.0059081430770468
CNR2,0.00291412827484988,0.144521408315478,0.0404383484950502,0.516500753339263,0.0164984493099193
DOK2,0.00606692575000521,0.821282226813111,0.713542542023766,0.945289812946622,0.027563316987678
FCMR,0.000969066109743393,0.749662867164898,0.631729077431029,0.889613023182795,0.00869795922891631
FCRL2,0.00548991874767703,0.359599219119054,0.174702188623116,0.740183047563279,0.0252536262393143
FCRL5,0.00229570478079444,0.626231305212047,0.463525190890029,0.846050344911297,0.0144195879134225
FCRL6,0.00313819341261941,0.421528293878477,0.237623810310241,0.747762197349303,0.0170270415329669
GBP4,0.0374715768119606,0.906968365417557,0.827261714095935,0.994354751165,0.119909045798274
GCSAM,0.00303657672516776,0.688381218707707,0.53776532804808,0.881181209635628,0.0169312156797233
GFI1,0.0182117296923329,0.756646329273586,0.600300994434592,0.953711009828374,0.0683869033344746
GOLGA5,0.0343593695888509,1.361418605823,1.02298824382255,1.81181028371869,0.110945848479324
GRAP2,0.00278402169859788,0.590241081472682,0.417800942293749,0.833852916523817,0.0160081247669378
HEATR9,0.00435197252240368,0.0132777106558308,0.000680833444114127,0.258943801577426,0.0213536785099274
